model,Gsolv,timing
0,-31.227697,0.18
1,-32.3382835,0.17
2,-31.29596,0.16
3,-30.970398,0.07
4,-30.5949515,0.14
5,-31.049163,0.16
6,-30.4321705,0.15
7,-32.0232235,0.18
8,-32.5063155,0.14
9,-31.663529999999998,0.18
10,-30.660588999999998,0.17
11,-31.4613665,0.17
12,-32.558825500000005,0.16
13,-32.8161245,0.14
14,-31.9339565,0.16
15,-30.119736,0.16
16,-31.45349,0.18
17,-31.4141075,0.17
18,-31.442988,0.14
19,-32.466933,0.16
20,-31.731793,0.14
21,-30.988776499999997,0.15
22,-32.527319500000004,0.16
23,-30.6579635,0.2
24,-29.710158,0.16
25,-30.689469499999998,0.16
26,-30.476804,0.14
27,-31.534880500000003,0.15
28,-31.6083945,0.17
29,-32.401295499999996,0.14
30,-31.802681500000002,0.17
31,-32.642841499999996,0.16
32,-31.7186655,0.15
33,-31.7291675,0.15
34,-32.45118,0.17
35,-32.9106425,0.15
36,-29.3977235,0.17
37,-29.6970305,0.16
38,-31.235573499999997,0.22
39,-31.5033745,0.13
40,-30.8102425,0.15
41,-33.023539,0.16
42,-32.582454999999996,0.15
43,-31.020282500000004,0.18
44,-30.812867999999998,0.16
45,-31.8709445,0.15
46,-31.049163,0.15
47,-32.183379,0.16
48,-31.201442,0.15
49,-32.2332635,0.14
50,-33.296591,0.18
51,-33.118057,0.15
52,-30.2746405,0.17
53,-32.4590565,0.16
54,-31.8394385,0.18
55,-32.5063155,0.14
56,-29.9910865,0.16
57,-31.3195895,0.15
58,-31.406231000000002,0.14
59,-31.4666175,0.16
60,-31.563761,0.14
61,-30.130238,0.18
62,-32.015347,0.17
63,-31.1988165,0.15
64,-29.977959,0.2
65,-32.29365,0.15
66,-30.797115,0.16
67,-30.8417485,0.13
68,-30.4374215,0.15
69,-30.581824,0.16
70,-31.130553499999998,0.12
71,-32.4643075,0.16
72,-30.5686965,0.16
73,-32.388168,0.18
74,-31.3405935,0.15
75,-31.364223,0.17
76,-31.017657,0.18
77,-31.1042985,0.16
78,-32.4905625,0.18
79,-29.4554845,0.14
80,-30.576573,0.16
81,-30.720975499999998,0.15
82,-31.616271,0.19
83,-30.7524815,0.14
84,-31.802681500000002,0.16
85,-32.1965065,0.17
86,-31.8656935,0.15
87,-30.6422105,0.15
88,-30.881131,0.19
89,-32.2332635,0.15
90,-31.8499405,0.15
91,-30.970398,0.15
92,-32.409172000000005,0.16
93,-31.398354499999996,0.15
94,-30.8364975,0.16
95,-30.329776,0.17
96,-33.2624595,0.16
97,-31.322215,0.17
98,-30.6159555,0.13
99,-31.6871595,0.14
100,-32.0599805,0.17
101,-31.285458,0.16
