model,Gsolv,timing
0,-63.0933905,0.06
1,-65.905301,0.07
2,-63.327059999999996,0.06
3,-61.4367,0.06
4,-63.1826575,0.06
5,-67.811414,0.06
6,-64.960121,0.06
7,-65.6453765,0.06
8,-66.9318715,0.06
9,-65.296185,0.06
10,-64.135714,0.07
11,-66.50391499999999,0.07
12,-67.22330199999999,0.06
13,-65.3670735,0.06
14,-68.068713,0.07
15,-67.050019,0.08
16,-65.5561095,0.07
17,-64.55579399999999,0.05
18,-64.7684595,0.06
19,-69.3525825,0.07
20,-67.449095,0.06
21,-66.010321,0.06
22,-68.17110749999999,0.06
23,-68.0083265,0.08
24,-68.65419949999999,0.06
25,-65.343444,0.07
26,-66.178353,0.08
27,-67.1891705,0.08
28,-66.682449,0.08
29,-66.593182,0.06
30,-66.960752,0.07
31,-64.7317025,0.06
32,-66.362138,0.06
33,-64.1908495,0.05
34,-66.7953455,0.06
35,-67.380832,0.06
36,-66.204608,0.07
37,-66.9318715,0.06
38,-64.6581885,0.06
39,-67.5199835,0.08
40,-67.9663185,0.06
41,-65.816034,0.06
42,-66.818975,0.06
43,-67.1366605,0.06
44,-69.113662,0.06
45,-66.85835750000001,0.06
46,-66.9003655,0.06
47,-64.907611,0.05
48,-67.926936,0.06
49,-64.5794235,0.06
50,-68.1343505,0.07
51,-64.529539,0.07
52,-64.109459,0.07
53,-63.584359,0.08
54,-67.606625,0.07
55,-68.0398325,0.08
56,-61.951297999999994,0.06
57,-65.2515515,0.06
58,-70.489424,0.06
59,-66.7375845,0.07
60,-67.1996725,0.06
61,-65.3355675,0.06
62,-63.715634,0.07
63,-64.4954075,0.07
64,-67.8402945,0.08
65,-68.0450835,0.06
66,-66.283373,0.07
67,-67.9925735,0.06
68,-65.6873845,0.15
69,-65.8764205,0.15
70,-67.113031,0.06
71,-65.086145,0.15
72,-66.2439905,0.06
73,-65.558735,0.07
74,-66.356887,0.06
75,-65.53773100000001,0.06
76,-64.340503,0.07
77,-64.981125,0.06
78,-67.5252345,0.06
79,-65.3093125,0.15
80,-65.6873845,0.06
81,-65.6873845,0.13
82,-66.60105850000001,0.06
83,-66.173102,0.06
84,-64.608304,0.06
85,-70.0457145,0.06
86,-66.4540305,0.06
87,-65.075643,0.08
88,-66.472409,0.06
89,-65.9341815,0.06
90,-66.5275445,0.06
91,-66.451405,0.05
92,-66.72183150000001,0.08
93,-66.61156050000001,0.07
