model,Gsolv,timing
0,-1720.2144724999998,19.85
1,-1727.5711235,20.54
2,-1725.1294085,19.3
3,-1706.3859639999998,19.86
4,-1653.3193580000002,19.46
5,-1614.514468,19.45
6,-1709.4341695,20.62
7,-1691.0661715,20.79
8,-1704.7397755,20.26
9,-1730.6508350000001,19.37
10,-1773.9059475000001,20.66
11,-1796.31459,19.75
12,-1768.058959,19.61
13,-1769.7261515,20.24
14,-1817.3264665,20.06
15,-1781.19171,19.58
16,-1784.1453975,20.72
17,-1771.7635395,20.36
18,-1820.852513,20.6
19,-1786.164407,19.99
20,-1800.074306,20.22
21,-1807.362694,20.6
22,-1766.2184835,20.54
23,-1754.768678,20.17
24,-1700.489091,20.55
25,-1697.364746,19.75
26,-1711.2930235,20.66
27,-1719.4583285,20.94
28,-1661.2457425000002,20.3
29,-1696.094004,20.73
30,-1652.2087715,19.84
31,-1665.0763470000002,19.9
32,-1647.8871984999998,19.87
33,-1684.9330035,19.48
34,-1663.8922464999998,20.13
35,-1664.3700875,20.39
36,-1705.6009395,19.84
37,-1709.4367949999998,20.59
38,-1731.4857439999998,20.39
39,-1772.1153565,20.66
40,-1778.9469075,20.02
41,-1728.15661,19.77
42,-1645.4953679999999,19.87
43,-1671.7976270000001,20.42
44,-1745.752711,20.23
45,-1682.724958,19.82
46,-1715.3231660000001,20.22
47,-1694.6105965,20.47
48,-1664.8584305,20.41
49,-1715.8141345,20.5
50,-1723.4648415000001,20.0
51,-1733.3419724999999,19.86
52,-1732.950773,20.03
53,-1745.9181175,20.18
54,-1762.6845605,19.6
55,-1724.0792085,20.02
56,-1717.0796255000002,19.96
57,-1706.4463504999999,19.09
58,-1702.5658615,19.33
59,-1733.244829,19.03
60,-1742.5627285,19.46
61,-1718.9437305000001,19.55
62,-1737.1174415,19.31
63,-1754.4641199999999,19.41
64,-1689.572262,19.68
65,-1804.3092374999999,19.67
66,-1762.9733655,19.39
67,-1768.2558715,19.06
68,-1796.5928929999998,19.03
69,-1766.399643,19.16
70,-1802.0618095,19.41
71,-1821.876458,19.51
72,-1805.5931070000001,19.93
73,-1821.2489635,19.81
74,-1784.7545134999998,19.39
75,-1757.82476,19.86
76,-1766.4705314999999,20.19
77,-1769.277191,20.36
78,-1822.7034905,19.57
79,-1786.1591560000002,20.03
80,-1782.7433805,20.63
81,-1757.8930229999999,19.47
82,-1690.0159715,19.42
83,-1728.335144,19.62
84,-1741.0215600000001,19.34
85,-1753.9101395,19.71
86,-1781.0866899999999,19.27
87,-1785.072199,19.93
88,-1817.9093275,20.19
89,-1793.526309,18.99
90,-1775.0637929999998,19.53
91,-1781.7351885,19.57
92,-1775.5652635000001,19.25
93,-1723.5278535,19.36
94,-1757.1920145,19.65
95,-1752.122174,19.96
96,-1775.9984709999999,19.74
97,-1720.8550945,19.99
98,-1710.9202025,20.57
99,-1741.2394765,20.63
100,-1745.595181,20.29
101,-1766.950998,20.03
102,-1664.3910915,19.18
103,-1723.766774,20.1
104,-1761.7288785,19.32
105,-1702.2061680000002,20.21
106,-1688.3409025,20.54
107,-1656.0525035,20.76
108,-1654.3721835000001,19.56
109,-1677.2534159999998,20.45
110,-1663.2568755,20.28
111,-1654.6294825,20.78
112,-1661.967755,20.37
113,-1670.820941,20.26
114,-1768.605063,20.54
115,-1728.203869,20.22
116,-1693.4816314999998,20.25
117,-1717.3710560000002,19.58
118,-1681.1339050000001,20.56
119,-1679.0886404999999,20.17
120,-1723.3493195,19.22
121,-1759.247781,20.04
122,-1820.8866445,19.64
123,-1739.3333635,19.6
124,-1747.4094014999998,19.79
125,-1762.020309,19.83
126,-1736.290409,20.55
127,-1724.7513365,20.03
128,-1738.8292675,19.37
129,-1710.707537,19.23
130,-1705.0469590000002,19.64
131,-1763.0836365,19.99
132,-1741.410134,19.4
133,-1775.746423,18.21
134,-1777.6052770000001,18.9
135,-1722.664064,18.8
136,-1778.340417,18.83
137,-1774.0135930000001,18.98
138,-1719.9886795000002,18.58
139,-1739.4515110000002,19.67
140,-1835.0905995,19.45
141,-1745.2249855,19.76
142,-1778.9206525,19.21
143,-1809.3554485,19.14
144,-1764.8926060000001,18.92
145,-1808.23436,18.96
146,-1872.3123130000001,18.94
147,-2220.1726845,64.04
148,-1850.6493125000002,19.01
149,-1848.2496055,19.12
150,-1866.809265,19.31
151,-1854.9104989999998,18.93
152,-1859.463116,19.5
153,-1806.533036,18.7
154,-1855.44085,18.74
155,-1872.590616,19.22
156,-1824.3050455,19.62
157,-1821.6795455000001,19.08
158,-1851.7966560000002,19.61
159,-1819.6159025,18.82
160,-1790.48598,19.27
161,-1835.6734605,19.54
162,-1853.6397570000001,18.79
163,-1813.43285,18.98
164,-1834.1112879999998,19.29
165,-1837.540191,18.52
166,-1798.1629420000002,18.72
167,-1765.6671285,18.59
168,-1839.357037,18.92
169,-1829.6663165,18.89
170,-1845.1751450000002,18.8
171,-1829.0466985,18.77
172,-1851.0536395000001,18.61
173,-1809.9908195,18.86
174,-1824.1475155,18.75
175,-1832.5701195,19.07
176,-1835.3058904999998,19.1
177,-1784.3711905,19.8
178,-1790.506984,19.06
179,-1798.2758385,18.82
180,-1788.8712974999999,19.09
181,-1807.257674,19.08
182,-1805.997434,19.47
183,-1834.8963125,19.68
184,-1763.117768,19.59
185,-1793.9385125,19.12
186,-1820.2460225,19.09
187,-1915.2471145,19.5
188,-1898.9427595000002,19.4
189,-1837.671466,19.57
190,-1853.4218405,20.61
191,-1882.0292885,20.41
192,-1847.265043,20.25
193,-1854.3670205,20.73
194,-1851.8150345000001,20.17
195,-1851.355572,19.53
196,-1845.4245675,20.1
197,-1817.3632234999998,20.37
198,-1806.632805,19.81
199,-1828.6660009999998,19.89
200,-1822.5800920000001,20.17
201,-1769.2798165,20.0
202,-1786.5162240000002,20.42
203,-1721.398573,19.9
204,-1781.606539,20.33
205,-1793.3504005,20.59
206,-1800.237087,20.07
207,-1783.2737315,19.51
208,-1752.9492065,20.19
209,-1783.9616125000002,20.41
210,-1821.025796,19.52
211,-1816.6753425,19.56
212,-1815.3258354999998,19.97
213,-1798.136687,20.54
214,-1771.0178975,19.77
215,-1793.9463890000002,20.46
216,-1780.2911635,19.73
217,-1822.653606,20.34
218,-1767.6703850000001,19.63
219,-1796.078295,20.45
220,-1773.1287995,20.37
221,-1778.235397,20.74
222,-1738.5562155,19.73
223,-1766.0977105,20.97
224,-1835.361026,20.5
225,-1753.8103705,19.96
226,-1795.3510315,20.5
227,-1792.5181169999998,20.52
228,-1765.5778615,20.86
229,-1760.3583675,20.42
230,-1805.8057725,19.59
231,-1773.5226245,20.58
232,-1777.3899860000001,20.09
233,-1813.6008820000002,20.21
234,-1824.51246,20.41
235,-1744.0382595,19.8
236,-1819.57652,19.55
237,-1825.5154009999999,19.95
238,-1785.4056375,20.19
239,-1787.671444,20.33
240,-1776.723109,20.52
241,-1776.4395550000002,20.06
242,-1795.6188325,19.79
243,-1780.776881,19.45
244,-1804.1832135000002,19.35
245,-1802.8967185000001,19.19
246,-1843.011733,19.46
247,-1837.6530875,19.58
248,-1810.5054175,19.81
249,-1862.6819790000002,19.85
250,-1832.2209280000002,18.68
251,-1842.3737365,19.56
252,-1779.679422,18.6
253,-1825.5442815,19.47
254,-1896.272626,19.41
255,-1882.809062,18.78
256,-1811.1040315,19.6
257,-1809.4079585,18.7
258,-1756.942592,19.03
259,-1764.7377015,18.78
260,-1743.1324619999998,19.48
261,-1759.1401355,19.12
262,-1765.4098295000001,19.64
263,-1788.5194805,19.02
264,-1801.5262075,19.16
265,-1751.113982,18.65
266,-1816.8801315,20.73
267,-1820.169883,20.26
268,-2258.7202755,80.76
269,-1817.2503270000002,20.7
270,-1837.6583385,19.63
271,-1818.389794,19.32
272,-1800.9590995,18.78
273,-1811.5083585,19.66
274,-1764.393761,20.08
275,-1775.8041839999999,19.02
276,-1788.2411774999998,18.1
277,-1826.156023,18.78
278,-1803.0962565,18.88
279,-1842.10331,19.63
280,-2207.336615,73.85
281,-1830.0338864999999,19.06
282,-1808.355133,19.1
283,-1840.7564285,18.81
284,-1852.9597525000001,19.04
285,-1807.987563,18.89
286,-1796.6322755,19.69
287,-2197.296703,76.67
288,-2223.3705434999997,78.0
289,-1797.086487,19.38
290,-1779.1569475000001,19.31
291,-1805.6534935000002,19.97
292,-1769.9256894999999,20.46
293,-1785.0433185,19.02
294,-1795.043848,19.9
295,-1795.3142745,20.34
296,-1785.6078009999999,19.41
297,-1811.616004,19.83
298,-1821.78194,19.29
299,-1828.7999015,19.53
300,-1810.087963,19.17
301,-1817.6782835,19.33
302,-1862.4063015,19.51
303,-1819.2063245000002,19.15
304,-1804.7345685,19.28
305,-1799.7067359999999,18.96
306,-1787.8788585,19.12
307,-1782.3469300000002,19.15
308,-1770.148857,19.0
309,-1762.540158,18.91
310,-1744.0408850000001,18.97
311,-1820.0701139999999,19.21
312,-1786.085642,19.79
313,-1799.9088995,20.05
314,-1836.9337005,18.88
315,-1858.8881315,19.58
316,-1827.2718605,19.45
317,-1821.9841035000002,19.53
318,-1797.2781485,19.55
319,-1788.0101335,18.85
320,-1741.719943,19.23
321,-1795.8945099999999,19.91
322,-1746.2909385,19.78
323,-1743.1665935,19.33
324,-1759.5628410000002,19.47
325,-1794.1538034999999,20.08
326,-1746.046767,20.17
327,-1788.9920705,19.38
328,-1735.9779744999998,20.09
329,-1750.3079535000002,19.74
330,-1793.016962,20.05
331,-1733.533634,20.57
332,-1778.0752415,20.18
333,-1797.8452565,20.7
334,-1733.528383,20.0
335,-1713.5798340000001,20.55
336,-1795.4245455,19.53
337,-1760.796826,19.24
338,-1722.5537929999998,19.1
339,-1747.275501,19.18
340,-1782.8326475000001,19.49
341,-1749.9823915000002,19.67
342,-1772.3175199999998,19.65
343,-1739.3858735000001,19.19
344,-1728.1986180000001,18.9
345,-1738.7557534999999,19.25
346,-1780.4486935,19.36
347,-1690.312653,19.08
348,-1740.039623,19.1
349,-1740.942795,19.27
350,-1796.6690325,19.42
351,-1730.2097509999999,18.66
352,-1755.5011925,20.19
353,-1733.9405864999999,19.34
354,-1728.26163,19.55
355,-1728.26163,19.76
356,-1775.0952989999998,19.28
357,-1786.9231765,19.14
358,-1806.0263145000001,19.27
359,-1761.0751289999998,19.58
360,-1757.499198,20.04
361,-1773.6538994999999,19.9
362,-1744.0855184999998,19.68
363,-1752.2350705,18.55
364,-1754.4194865,19.53
365,-1752.8021784999999,18.49
366,-1745.7605875,18.89
367,-1752.347967,18.55
368,-1763.2227879999998,18.9
369,-1803.009615,19.2
370,-1783.2212215000002,20.27
371,-1758.5362705,19.81
372,-1772.8452455,19.78
373,-1732.1342424999998,19.97
374,-1729.20681,19.12
375,-1793.8807515,19.09
376,-1749.0792195000001,18.89
377,-1810.8152264999999,19.45
378,-1797.989659,19.67
379,-1693.1298144999998,19.64
380,-1737.4823860000001,19.59
381,-1716.2972265,19.53
382,-1732.562199,19.82
383,-1752.7549195,19.29
384,-1730.3095199999998,19.56
385,-1777.2219539999999,19.96
386,-1791.9168775,19.3
387,-1778.9075249999999,19.91
388,-1747.921374,19.71
389,-1788.4564685,19.33
390,-1830.755899,19.3
391,-1829.3250014999999,19.69
392,-1828.518973,19.92
393,-1857.3653414999999,19.39
394,-1813.978954,19.73
395,-1864.3439205,19.62
396,-1787.54542,20.32
397,-1766.8486035,21.01
398,-1752.8809435,20.94
399,-1802.6446704999998,20.14
400,-1818.920145,20.15
401,-1796.0021555,19.7
402,-1828.272176,19.79
403,-1808.0584514999998,20.16
404,-1807.887794,20.05
405,-1819.1984479999999,20.05
406,-1805.272796,19.49
407,-1878.776294,19.19
408,-1900.5128085000001,19.45
409,-1879.7503545,20.05
410,-1840.806313,20.24
411,-1838.4617415,19.47
412,-1842.3632344999999,20.18
413,-1776.5655789999998,19.45
414,-1821.2437125000001,19.36
415,-1819.0592965,19.04
416,-1762.1016995,19.29
417,-1793.384532,18.86
418,-1785.1378365,19.14
419,-1804.9708635,18.38
420,-1828.319435,20.03
421,-1799.9456565,18.59
422,-1780.9816700000001,18.72
423,-1751.7047195,18.94
424,-1762.792206,19.11
425,-1760.0695625,19.37
426,-1726.8779915,19.64
427,-1777.8757035,19.39
428,-1741.8380905,19.25
429,-1728.0017055,19.67
430,-1731.7640470000001,19.96
431,-1732.499187,20.31
432,-1708.2526945,19.37
433,-1754.1516855,19.36
434,-1797.4671845,20.29
435,-1804.2961100000002,20.07
436,-1761.489958,20.23
437,-1719.156396,19.98
438,-1741.7251939999999,19.66
439,-1710.8939475,19.85
440,-1741.5177795000002,19.56
441,-1774.10286,20.13
442,-1714.1731969999998,20.24
443,-1787.3563840000002,19.59
444,-1738.159765,20.13
445,-1762.9812419999998,21.43
446,-1734.1847579999999,20.94
447,-1766.1764755,21.03
448,-1810.2271145,20.83
449,-1799.5833375,20.33
450,-1816.326151,20.43
451,-1782.6803685,20.95
452,-1768.857111,20.66
453,-1768.6234415000001,20.7
454,-1826.5104655,20.52
455,-1798.0421689999998,19.45
456,-1802.279726,18.9
457,-1781.8533360000001,19.19
458,-1808.2527384999999,19.28
459,-1794.7471665,19.53
460,-1787.2802445,20.07
461,-1832.903558,19.96
462,-1828.8261565,20.31
463,-1795.6240835,20.85
464,-1748.0395214999999,19.33
465,-1798.1025555,20.25
466,-1820.9444055,20.76
467,-1784.148023,20.6
468,-1786.279929,20.65
469,-1786.411204,19.71
470,-1783.2684805000001,20.81
471,-1778.82876,21.11
472,-1762.6005445,20.77
473,-1712.5401359999998,21.51
474,-2196.3331445,74.62
475,-1719.235161,20.5
476,-1763.149274,20.78
477,-1780.0811234999999,21.19
478,-1696.9394149999998,21.68
479,-1755.1388735,20.91
480,-1795.1514935,20.33
481,-1750.552125,20.94
482,-1743.2611115000002,20.43
483,-1756.5986515,20.77
484,-1736.66323,20.68
485,-1786.5346025000001,20.76
486,-1756.2652130000001,20.32
487,-1799.3050345,19.81
488,-1739.645798,19.61
489,-1779.936721,20.73
490,-1755.3226585,20.63
491,-1760.1089450000002,20.39
492,-1750.7857944999998,21.5
493,-1774.3155255,20.7
494,-1726.2951305,20.76
495,-1772.7454765,21.03
496,-1790.181422,21.08
497,-1824.6463605,20.87
498,-1787.114838,21.85
499,-1748.0920315,21.81
500,-1698.8796595000001,21.62
501,-1707.3994069999999,21.36
502,-1703.89699,21.47
503,-1715.055365,21.23
504,-1700.6886289999998,20.91
505,-1756.7824365000001,20.42
506,-1814.4489185,19.99
507,-1788.243803,20.85
508,-1726.035206,20.27
509,-1752.988589,20.21
510,-1801.2426535,20.72
511,-1757.8405129999999,19.41
512,-1749.1606100000001,19.89
513,-1749.2866339999998,20.92
514,-1792.0901605000001,20.38
515,-1788.7268949999998,21.63
516,-1749.8248615,21.72
517,-1756.1181849999998,21.42
518,-1733.5730164999998,21.48
519,-1729.0939134999999,20.94
520,-1718.347742,20.18
521,-1707.0502155,21.05
522,-1757.2917835,21.04
523,-1751.1796195000002,21.42
524,-1700.5179715,22.43
525,-1745.532169,21.9
526,-1723.7431445,22.23
527,-1734.158503,22.58
528,-1689.56176,21.64
529,-1685.5683745,21.11
530,-1687.8158024999998,20.61
531,-1710.1535565000001,20.74
532,-1716.6647965,20.29
533,-1746.9604410000002,20.69
534,-1671.4011765,20.54
535,-1698.530468,20.32
536,-1709.3449025000002,21.27
537,-1738.506331,20.57
538,-1695.0096725,20.52
539,-1724.507165,20.36
540,-1698.9452969999998,21.05
541,-1678.3692535,20.38
542,-1664.3359560000001,20.59
543,-1637.582111,21.0
544,-1665.1314825,21.07
545,-1628.004287,20.53
546,-1638.5771755,20.38
547,-1660.8939255,20.3
548,-1692.9985394999999,20.46
549,-1675.063749,20.06
550,-1676.4526385,19.9
551,-1681.0157574999998,19.87
552,-1695.91547,19.98
553,-1698.031623,20.44
554,-1742.2686725,19.73
555,-1695.7868205,19.89
556,-1714.8085680000002,19.66
557,-1634.599543,19.5
558,-1641.908935,20.35
559,-1651.5077629999998,19.71
560,-1721.529848,20.08
561,-1745.936496,21.28
562,-1740.1603960000002,19.97
563,-1725.6702615,21.01
564,-1731.543505,20.94
565,-1731.1575565,20.46
566,-1745.7343325000002,20.68
567,-1744.1957894999998,20.07
568,-1725.8803014999999,19.64
569,-1723.8376625,20.18
570,-1747.7244615,20.17
571,-1713.7714955000001,19.81
572,-1769.0408959999997,19.64
573,-1748.4858565,19.69
574,-1699.6856879999998,20.37
575,-1811.5976255,20.61
576,-1792.8988145,20.78
577,-1768.1377240000002,20.32
578,-1737.729183,20.52
579,-1751.213751,20.4
580,-1753.1067365,20.38
581,-1792.2739455,20.65
582,-1794.6185169999999,20.17
583,-1730.020715,20.0
584,-1770.6372,19.92
585,-1751.6075759999999,19.99
586,-1784.442079,20.75
587,-1776.2793995,20.8
588,-1782.6751175,20.7
589,-1779.9498485,21.11
590,-1758.8513305000001,20.47
591,-1797.4251765,20.6
592,-1731.039409,19.16
593,-1766.1554715,19.69
594,-1750.8383045,20.17
595,-1720.358875,21.05
596,-1720.143584,20.84
597,-1702.489722,20.91
598,-1737.5165175,21.49
599,-1720.6503054999998,21.07
600,-1667.9827755000001,21.07
601,-1659.00094,20.91
602,-1683.7489030000002,21.35
603,-1652.8388915,19.68
604,-1678.79721,19.82
605,-1665.102602,19.79
606,-1654.7502554999999,20.89
607,-1674.1316964999999,21.26
608,-1662.7317755,21.35
609,-1669.0907365,20.7
610,-1625.2632649999998,20.55
611,-1618.547236,21.01
612,-1628.0778010000001,20.97
613,-1642.4576645,21.11
614,-1645.8288065,21.48
615,-1720.49015,20.61
616,-1668.5262539999999,20.49
617,-1696.083502,21.4
618,-1639.1652875,20.64
619,-1646.1071095,21.9
620,-1666.0609095000002,21.87
621,-1670.5452635,21.42
622,-1662.498106,20.76
623,-1730.1257349999998,20.36
624,-1688.7924885,20.3
625,-1711.0987365,21.08
626,-1658.2001625,21.08
627,-1651.0903085,21.09
628,-1640.6066870000002,21.76
629,-1710.51325,22.39
630,-1700.835657,22.17
631,-1690.827251,22.81
632,-1688.0363445,21.83
633,-1718.2243435,21.89
634,-1738.637606,22.31
635,-1678.11458,22.2
636,-1713.4013,22.21
637,-1649.612152,21.53
638,-1682.31538,22.07
639,-1700.793649,21.52
640,-1729.6951530000001,21.4
641,-1727.8179205,20.96
642,-1730.797863,21.57
