model,Gsolv,timing
0,-1739.3202359999998,18.12
1,-1748.4175935,18.75
2,-1746.876425,17.6
3,-1726.376521,18.15
4,-1667.5311895000002,17.72
5,-1634.0088055,17.45
6,-1720.6923135,18.53
7,-1699.0686954999999,18.75
8,-1715.312664,18.14
9,-1738.2070239999998,17.05
10,-1777.3085955000001,18.41
11,-1802.9886110000002,17.69
12,-1776.8412565,17.58
13,-1771.0100209999998,18.05
14,-1819.1538145,17.72
15,-1780.808387,17.45
16,-1787.7003245,18.98
17,-1771.9998345000001,18.29
18,-1826.334557,18.58
19,-1802.3611165,18.31
20,-1812.440411,18.34
21,-1809.6390024999998,18.68
22,-1778.6003414999998,18.65
23,-1766.7777150000002,18.07
24,-1713.3409135,18.73
25,-1721.624366,18.11
26,-1732.541195,18.79
27,-1739.0025505,18.76
28,-1682.5543005,18.53
29,-1733.7016660000002,18.75
30,-1686.5686899999998,18.08
31,-1706.139167,18.07
32,-1670.2380799999999,17.96
33,-1706.4253465000002,17.44
34,-1694.613222,18.0
35,-1699.060819,18.35
36,-1737.8079480000001,17.91
37,-1747.485541,18.6
38,-1763.1676525,18.33
39,-1807.3600685,18.72
40,-1808.029571,18.06
41,-1754.6715345,17.87
42,-1678.3535005,18.0
43,-1700.5337245,18.32
44,-1777.0933045,18.03
45,-1723.9584355,18.27
46,-1742.1321465,18.59
47,-1722.9554945,18.24
48,-1694.1983930000001,18.48
49,-1744.9204275,18.28
50,-1740.107886,18.15
51,-1756.611779,17.71
52,-1754.768678,17.9
53,-1762.2434765,17.89
54,-1776.5104435,18.0
55,-1756.9767235000002,18.21
56,-1747.8819915000001,17.88
57,-1731.706286,17.32
58,-1725.8697995,17.28
59,-1752.6157680000001,17.15
60,-1763.0573815,17.48
61,-1741.5545365,17.54
62,-1752.1405525,17.45
63,-1778.592465,17.44
64,-1708.5441250000001,17.75
65,-1816.126613,17.7
66,-1763.522095,17.61
67,-1772.0523445,17.18
68,-1795.4586769999999,17.22
69,-1769.7917889999999,17.24
70,-1811.3140715,17.65
71,-1830.230799,17.68
72,-1814.9530144999999,17.73
73,-1826.066756,17.76
74,-1789.2835010000001,17.35
75,-1768.095716,17.87
76,-1770.101598,18.3
77,-1767.59162,18.46
78,-1827.983371,17.91
79,-1806.417514,18.06
80,-1795.663466,18.29
81,-1766.3497585,17.56
82,-1692.6099654999998,17.44
83,-1732.703976,17.57
84,-1744.6841324999998,17.53
85,-1765.7301405,17.98
86,-1786.6711285,17.34
87,-1788.716393,18.14
88,-1823.04218,18.02
89,-1797.5091925,17.1
90,-1779.107063,17.41
91,-1783.0636915,17.72
92,-1777.416241,17.32
93,-1727.3269520000001,17.51
94,-1775.893451,17.64
95,-1760.1168215,17.85
96,-1784.8122745,17.96
97,-1731.1969390000002,18.27
98,-1712.8053115,18.56
99,-1755.6902285,18.38
100,-1756.506759,18.09
101,-1774.6253345000002,18.15
102,-1671.676854,17.35
103,-1728.923256,18.25
104,-1767.512855,17.55
105,-1706.6143825,17.98
106,-1697.6561765000001,18.57
107,-1662.6976439999999,18.62
108,-1660.177164,17.43
109,-1686.8207380000001,18.24
110,-1673.4306880000001,18.12
111,-1654.2671635,18.64
112,-1667.4182930000002,18.37
113,-1682.798472,18.27
114,-1776.4264275,18.28
115,-1734.03773,18.31
116,-1701.0115655000002,18.46
117,-1727.552745,17.91
118,-1687.2591965,18.71
119,-1689.0812935000001,18.22
120,-1733.822439,17.73
121,-1774.0949835000001,17.86
122,-1834.163798,17.77
123,-1753.5215655,17.7
124,-1753.1960035000002,17.91
125,-1769.9729485,17.94
126,-1742.4997165,18.4
127,-1736.4453134999999,17.99
128,-1750.037527,17.32
129,-1722.333251,17.8
130,-1723.0395105000002,17.88
131,-1775.861945,18.58
132,-1752.0565365,17.72
133,-1783.2579785,16.66
134,-1791.2815065,16.99
135,-1730.5011814999998,16.85
136,-1786.799778,17.1
137,-1784.7203820000002,17.2
138,-1727.7391555,16.73
139,-1746.918433,17.64
140,-1835.8519945,17.49
141,-1748.00539,17.77
142,-1782.7958905,17.3
143,-1817.0271595000002,17.21
144,-1776.770368,17.07
145,-1813.249065,16.95
146,-1878.2328155,17.1
147,-2208.7097515,54.93
148,-1856.296763,16.98
149,-1852.642067,17.39
150,-1862.9156485,17.3
151,-1852.778593,17.2
152,-1863.0049155000002,17.75
153,-1812.6977100000001,16.8
