model,Gsolv,timing
0,-16579.675432,20.09
1,-16650.705708999998,19.74
2,-16456.471219,19.86
3,-16435.960812999998,20.28
4,-16534.2831625,19.22
5,-16279.969356000001,19.95
6,-16192.437811500002,19.94
7,-16552.842822,19.79
8,-16078.743159500002,19.92
9,-16562.7593355,20.11
10,-16325.282860500001,19.25
11,-16403.142063,19.93
12,-16385.3963085,19.96
13,-16486.701226,19.77
14,-16327.735077500001,19.74
15,-16221.053135999999,20.32
16,-16272.9408925,20.06
17,-16140.140476999999,19.35
18,-15991.9598825,19.74
19,-16324.776139,19.87
20,-16219.2861745,20.19
21,-15994.708781000001,19.56
22,-16049.52397,19.99
23,-16143.1309215,19.83
24,-16264.2977465,19.91
25,-16395.1999255,19.97
26,-16245.270748,19.94
27,-16321.410248,19.88
28,-16354.775102,20.38
29,-15961.3570545,19.74
30,-16245.971756500001,19.07
31,-16050.445520500001,19.22
32,-15967.0648915,19.73
33,-15814.284421,19.35
34,-16054.759216999999,20.54
35,-15712.816722500002,20.2
36,-15985.3436225,20.72
37,-16225.196175000001,20.4
38,-16051.928928000001,21.09
39,-16143.0311525,21.76
40,-16252.0944225,20.35
41,-16564.211237,20.49
42,-16463.3894115,20.29
43,-16135.425079,20.46
44,-16222.252989499999,19.71
45,-16323.5237755,20.05
46,-16137.178913,20.64
47,-16203.95588,19.54
48,-16226.800355500001,20.9
49,-16302.6195445,20.11
50,-16377.078724500001,19.89
51,-16465.3270305,20.07
52,-16674.277448,20.0
53,-16554.2737195,20.5
54,-16419.288888,20.22
55,-16472.6574265,20.0
56,-16153.5121485,20.43
57,-16076.939441,20.36
58,-16650.112346,19.62
59,-16376.866059000002,20.29
60,-16167.209382000001,20.13
61,-16905.426468,19.91
62,-16460.0340225,20.54
63,-16269.304575,20.23
64,-16357.999216000002,19.85
65,-16499.4270245,20.4
66,-16533.9313455,20.48
67,-16138.830352500001,18.97
68,-16412.018878500003,20.02
69,-16349.083018,19.88
70,-16474.1014515,20.02
71,-16569.21544,19.24
72,-16552.6459095,20.06
73,-16333.954887,19.9
74,-16305.646746,19.97
75,-16464.7284165,20.47
76,-16130.2292145,20.92
77,-16370.438835,20.38
78,-16290.460854,20.16
