model,Gsolv,timing
0,-3085.4849745,17.72
1,-3148.81466,17.82
2,-3064.1606635,17.77
3,-3028.603517,17.2
4,-3023.326262,17.05
5,-3098.074247,17.4
6,-3080.5175285000005,17.41
7,-3096.1024965,18.6
8,-3084.7340815000002,17.76
9,-3083.570985,17.74
10,-3096.1812615,18.12
11,-3125.038132,19.33
12,-3061.3329999999996,18.35
13,-3062.2598015,17.36
14,-3010.6162164999996,17.67
15,-3012.824262,17.8
16,-3100.526464,18.15
17,-3076.5110154999998,17.71
18,-3033.560461,17.96
19,-3134.5083105,17.66
20,-3050.006593,16.97
21,-3136.9815314999996,16.96
22,-3013.674924,16.57
23,-3069.5219345,17.04
24,-3024.339705,17.25
25,-3036.8029535,17.16
26,-3034.883713,17.15
27,-3093.647654,17.69
28,-3080.9349829999996,17.79
29,-3027.3905360000003,17.65
30,-3002.99439,17.27
31,-2910.8892245,17.42
32,-2964.5701975,17.33
33,-2987.5433225,17.53
34,-3032.0586749999998,17.14
35,-3013.0946885,17.21
36,-2973.5651605,17.09
37,-3027.973397,17.72
38,-2966.9751555,16.86
39,-2974.7361335,17.2
40,-3035.2355300000004,17.92
41,-3036.1150725,17.73
42,-3086.22274,17.71
43,-3147.7303285,17.92
44,-3113.9979045,17.73
45,-3129.6458844999997,17.37
46,-3135.2697055,18.1
47,-3105.2628659999996,17.78
48,-3154.6774015,17.96
49,-3081.1476485,18.06
50,-3043.133034,17.97
51,-3029.7219800000003,17.53
52,-3062.1626579999997,18.41
53,-3029.1679995,18.16
54,-3047.8641850000004,17.01
55,-3033.6103454999998,18.17
56,-3067.376901,18.84
57,-2956.2919960000004,17.78
58,-2968.9547825,18.57
59,-2986.1701860000003,18.23
60,-3038.2522295,17.35
61,-3024.83855,18.18
62,-2950.1824574999996,17.6
63,-2964.2288825,17.92
64,-3026.0567819999997,17.93
65,-3045.2491870000003,18.25
66,-2948.142444,18.36
67,-2971.099816,17.64
68,-2963.212814,18.04
69,-3066.2873185,17.96
70,-3037.4120695,18.12
71,-3009.5213830000002,17.92
72,-3015.602041,18.7
73,-3041.6259969999996,18.43
74,-3031.528324,18.03
75,-3103.3567529999996,18.23
76,-3160.31435,18.72
77,-3210.0964555,18.23
78,-3193.60569,18.47
79,-3166.2296015,18.79
80,-3127.406333,17.7
81,-3079.233659,18.08
82,-3080.3862535,18.18
83,-3110.84993,17.93
84,-3124.8832275,17.71
85,-2895.049583,17.58
86,-3054.6248475,17.99
87,-3068.747412,17.77
88,-3022.785409,18.22
89,-3050.88351,18.41
90,-3033.959537,18.75
91,-3045.9134384999998,18.3
92,-3036.4143795,17.91
93,-3010.6844794999997,17.89
94,-3011.5955280000003,18.6
95,-3028.6061425,18.58
96,-3014.798638,19.06
97,-3037.6877470000004,19.32
98,-2983.3110165,19.42
99,-3066.1507925,18.76
100,-2982.751785,18.63
101,-3046.850742,19.22
102,-3016.7861414999998,19.06
103,-3024.071904,18.96
104,-3057.788575,19.32
105,-3081.9037925,19.67
106,-3097.911466,18.83
107,-3109.6999610000003,18.47
108,-3214.725212,18.7
109,-3191.395019,18.44
110,-3151.676455,18.9
111,-3188.3678175,18.38
112,-3175.17468,18.81
113,-3039.2604215,17.87
114,-3033.0117315,18.24
115,-2999.2688055,17.75
116,-3105.898237,18.34
117,-3121.98205,18.31
118,-3105.1683479999997,18.07
119,-3108.2900675,18.2
120,-3175.7234095,18.65
121,-3117.3191620000002,17.9
122,-3115.2135110000004,18.95
123,-3016.678496,18.41
124,-3042.140595,18.24
125,-3107.7492144999997,19.13
126,-3066.001139,18.52
127,-3086.7609675000003,18.35
128,-3023.5231745,18.49
129,-3024.68102,17.98
130,-3090.7832335,18.26
131,-3161.8502675,17.56
132,-3088.3257654999998,18.52
133,-3138.3782975000004,17.98
134,-3144.183278,18.65
135,-3119.8580205,18.36
136,-3199.1691245,18.78
137,-3209.3508135,18.44
138,-3143.6634289999997,19.36
139,-3131.3314554999997,18.25
140,-3116.7625559999997,18.13
141,-3086.3330109999997,18.64
142,-3015.9617345,17.58
143,-3109.458415,17.44
144,-3078.2070885000003,17.98
145,-3083.5657340000002,18.36
146,-2993.873403,17.79
147,-3019.970873,17.38
148,-3037.5590974999996,17.15
149,-3059.159086,17.83
150,-3095.3726075,17.42
151,-3066.4999839999996,18.64
152,-3096.8218835,18.67
153,-3084.4190215,18.09
154,-3055.2260870000005,18.36
155,-3113.464928,17.8
156,-3088.8981245,17.73
157,-3046.2337495,17.75
158,-3006.0898545,17.09
159,-3080.4335125000002,17.47
160,-3099.1690805000003,17.58
161,-3074.891082,17.86
162,-3056.365554,17.91
163,-3159.9284015000003,17.52
164,-3105.6855715,18.31
165,-3129.574996,18.96
166,-3176.0043379999997,18.99
167,-3185.7370665000003,18.92
168,-3242.8758230000003,19.17
169,-3125.542228,19.38
170,-3151.0909684999997,19.67
171,-3138.5043214999996,19.84
172,-3048.405038,19.68
173,-3086.921123,19.69
174,-3177.899949,19.61
175,-3145.8662234999997,18.68
176,-3179.1418105000002,18.82
177,-3174.8832495,19.36
178,-3110.4167225,19.99
179,-3118.8944619999997,19.58
180,-3134.7130994999998,19.57
181,-3050.9228924999998,19.34
182,-3133.0590345,20.04
183,-3101.4296360000003,19.74
184,-3123.5153419999997,19.87
185,-3039.9167964999997,19.92
186,-3071.7929919999997,20.42
187,-3106.1529105,19.41
188,-3082.273988,19.64
