model,Gsolv,timing
0,-3089.1659255,17.78
1,-3152.7712885,17.85
2,-3066.1376649999997,17.66
3,-3030.9638415,17.01
4,-3015.318487,16.92
5,-3098.767379,17.42
6,-3082.1873465,17.23
7,-3090.0822249999997,18.77
8,-3076.466382,17.67
9,-3084.537169,17.56
10,-3087.0865295000003,18.01
11,-3125.4240805000004,19.42
12,-3060.839406,18.24
13,-3069.004711,17.05
14,-3011.437998,17.38
15,-3015.0191800000002,17.88
16,-3095.7112970000003,18.25
17,-3075.647226,17.86
18,-3027.9865245,18.11
19,-3139.2420869999996,17.72
20,-3040.6676895,17.13
21,-3131.061029,17.11
22,-3013.6302905000002,16.6
23,-3087.8242950000003,16.93
24,-3040.7569565000003,17.3
25,-3052.9760335,17.19
26,-3039.2814255000003,17.11
27,-3101.235349,17.69
28,-3083.1115225000003,17.83
29,-3040.8462234999997,17.69
30,-3017.1510860000003,17.08
31,-2921.346591,17.29
32,-2961.6611435,17.35
33,-2988.8875785,17.32
34,-3033.308413,16.96
35,-3021.4227745,16.99
36,-2982.8279245,17.21
37,-3023.5494295000003,17.61
38,-2974.3843165000003,16.9
39,-2980.388835,17.26
40,-3049.6679034999997,18.0
41,-3043.3194445,17.56
42,-3104.2993075000004,17.95
43,-3152.264567,18.12
44,-3109.6710805000002,18.11
45,-3133.507995,17.55
46,-3134.185374,18.37
47,-3110.7107785,18.11
48,-3149.360764,17.81
49,-3083.7206385000004,18.42
50,-3049.964585,18.06
51,-3038.790457,17.42
52,-3065.6519475,18.23
53,-3027.5979505,18.07
54,-3048.9248869999997,17.11
55,-3048.5284364999998,18.37
56,-3058.985803,18.9
57,-2958.8833645,17.75
58,-2972.160518,18.56
59,-2984.1327979999996,18.01
60,-3051.8680725000004,17.29
61,-3024.3134499999996,18.08
62,-2960.6004415,17.69
63,-2971.9268485000002,17.83
64,-3025.5028015,17.85
65,-3048.8434965,18.27
66,-2957.04814,18.1
67,-2968.7079855,17.47
68,-2961.894813,18.04
69,-3066.6312590000002,18.09
70,-3034.0356764999997,18.14
71,-3012.9844175000003,17.53
72,-3018.7946490000004,18.99
73,-3036.1203235,18.32
74,-3035.729124,17.95
75,-3102.8237765,18.31
76,-3165.9854299999997,18.92
77,-3213.0869,18.38
78,-3194.8317985,18.74
79,-3169.4169585000004,18.84
80,-3132.8437435,17.79
81,-3081.995685,18.04
82,-3086.4616604999997,18.11
83,-3121.367683,17.83
84,-3130.268128,17.54
85,-2907.357927,17.59
86,-3067.1064745,17.86
87,-3077.537586,17.44
88,-3017.571166,17.87
89,-3050.783741,18.22
90,-3053.1440655,18.72
91,-3059.2142215,18.37
92,-3044.041457,17.75
93,-3023.0532100000005,17.81
94,-3021.4254,18.39
95,-3032.7833130000004,18.41
96,-3016.1875275,19.25
97,-3039.3864455,19.18
98,-2993.6869925,19.32
99,-3082.7649565,18.7
100,-2997.1316485,19.01
101,-3059.0094324999995,19.36
102,-3034.1275689999998,19.36
103,-3040.5469165,19.24
104,-3068.196057,19.2
105,-3092.098609,19.44
106,-3098.5337095,18.99
107,-3116.2400815,18.5
108,-3223.1556925,18.75
109,-3195.7586,18.61
110,-3162.488264,18.79
111,-3189.2447345,18.48
112,-3182.4683189999996,18.92
113,-3041.557734,18.13
114,-3032.6599145,18.39
115,-3015.7096865,17.91
116,-3121.3519300000003,18.11
117,-3138.5988395000004,18.33
118,-3112.131174,17.87
119,-3107.7124575,17.8
120,-3173.998456,18.55
121,-3122.5754130000005,17.95
122,-3134.8758804999998,18.75
123,-3030.835192,18.46
124,-3053.0232925,18.06
125,-3120.9581049999997,19.2
126,-3078.5168974999997,18.33
127,-3104.149654,18.18
128,-3033.3740505,18.37
129,-3032.1085595,17.98
130,-3102.9865575,18.2
131,-3168.9863765,17.42
132,-3101.7735764999998,18.14
133,-3147.0030650000003,18.19
134,-3149.8044735,18.62
135,-3129.1391630000003,18.26
136,-3208.9727414999998,18.56
137,-3211.096771,18.22
138,-3143.9076005,19.27
139,-3136.7242324999997,18.2
140,-3119.8160125,18.16
141,-3088.16561,18.8
142,-3028.088919,17.66
143,-3108.161418,17.46
144,-3085.828915,18.12
145,-3096.8008794999996,18.73
146,-3015.1215745,17.6
147,-3030.2339525,17.29
148,-3044.8684895,17.22
149,-3056.113506,17.7
150,-3096.919027,17.28
151,-3071.819247,18.55
152,-3094.9052685,18.71
153,-3083.397702,17.68
154,-3049.3712219999998,18.32
155,-3109.1564825,17.85
156,-3091.7231625,18.12
157,-3057.4971445,17.7
158,-3008.1534975,17.1
159,-3081.4968400000002,17.29
160,-3100.5815995000003,17.39
161,-3075.1825125,17.57
162,-3062.8426624999997,18.0
163,-3170.76384,17.57
164,-3115.1058654999997,18.46
165,-3143.3930025,19.06
166,-3199.9515235,19.17
167,-3203.9134029999996,19.33
168,-3247.1317584999997,19.13
169,-3139.3339794999997,19.2
170,-3167.014626,19.63
171,-3154.4831145,19.72
172,-3062.6536265,19.84
173,-3097.045051,19.53
174,-3206.7568195000003,19.54
175,-3162.6694235,18.72
176,-3198.6597775,18.6
177,-3203.257028,19.16
178,-3122.118576,20.05
179,-3136.4826865,19.24
180,-3145.7979605,19.47
181,-3066.3135735,19.41
182,-3157.0928615,20.06
183,-3130.8063555,19.28
184,-3144.430075,19.72
185,-3053.9973529999997,19.81
186,-3082.1400875000004,20.27
187,-3116.589273,19.18
188,-3095.2492089999996,19.51
189,-3097.050302,19.27
190,-3096.6223455,19.19
191,-3086.8791149999997,18.78
192,-3070.6088915,18.98
193,-3120.98436,18.35
194,-3151.576686,19.06
195,-3122.6305485,19.72
196,-3201.083114,19.52
197,-3175.358465,19.79
198,-3210.2907425,19.19
199,-3217.0960385000003,20.24
200,-3191.1928555,19.94
201,-3173.6151330000002,19.29
202,-3129.0787765,19.86
203,-3189.158093,19.44
204,-3129.4909799999996,20.38
