model,Gsolv,timing
0,-31.0097805,0.08
1,-32.545698,0.08
2,-33.207324,0.06
3,-31.637275,0.08
4,-32.4643075,0.08
5,-33.1626905,0.07
6,-31.5768885,0.08
7,-32.1019885,0.08
8,-30.090855500000004,0.08
9,-32.096737499999996,0.07
10,-32.813499,0.08
11,-31.7606735,0.05
12,-33.6300295,0.08
13,-30.2168795,0.08
14,-31.781677499999997,0.08
15,-33.4777505,0.08
16,-32.39867,0.06
17,-31.301211000000002,0.07
18,-31.4193585,0.08
19,-31.521752999999997,0.1
20,-33.270336,0.09
21,-32.3487855,0.08
22,-31.7501715,0.07
23,-32.0284745,0.08
24,-29.276950499999998,0.07
25,-31.532255,0.1
26,-32.115116,0.06
27,-31.1725615,0.08
28,-33.0209135,0.07
29,-31.529629500000002,0.07
30,-30.741979500000003,0.08
31,-31.028159000000002,0.08
32,-32.529945,0.07
33,-32.401295499999996,0.06
34,-33.070797999999996,0.09
35,-33.049794,0.06
36,-31.416732999999997,0.09
37,-33.4830015,0.07
38,-31.9917175,0.07
39,-31.4193585,0.06
40,-31.658278999999997,0.07
41,-31.768549999999998,0.08
42,-30.335027,0.07
43,-31.264454,0.09
44,-33.538137,0.08
45,-31.2303225,0.07
46,-30.891633000000002,0.06
47,-31.731793,0.08
48,-33.8138145,0.09
49,-31.9077015,0.07
50,-31.9339565,0.08
51,-31.6031435,0.08
52,-30.445298,0.08
53,-33.1311845,0.1
54,-32.078359,0.07
55,-32.674347499999996,0.08
56,-31.3353425,0.05
57,-32.025849,0.07
58,-32.797746,0.07
59,-30.8364975,0.09
60,-31.9812155,0.08
61,-33.6405315,0.08
62,-30.466302,0.06
63,-34.362544,0.09
64,-32.0862355,0.08
65,-31.322215,0.07
66,-31.3510955,0.08
67,-31.298585499999998,0.08
68,-30.6422105,0.08
69,-30.9992785,0.07
70,-31.5821395,0.07
71,-32.0179725,0.06
72,-31.490247,0.08
73,-30.904760500000002,0.08
74,-30.2431345,0.07
75,-29.8020505,0.09
76,-30.605453500000003,0.08
77,-31.7764265,0.08
78,-29.830931000000003,0.08
79,-30.9572705,0.07
80,-31.156808500000004,0.07
81,-31.8184345,0.08
82,-31.395729,0.06
83,-31.1988165,0.08
84,-33.149563,0.08
85,-32.162375000000004,0.08
86,-29.778420999999998,0.07
87,-30.356030999999998,0.06
88,-32.947399499999996,0.08
89,-32.669096499999995,0.07
90,-28.896253,0.07
91,-31.794804999999997,0.1
92,-32.724232,0.1
93,-29.61564,0.08
94,-30.846999500000003,0.09
95,-31.810558,0.07
96,-33.1941965,0.07
97,-32.0442275,0.09
98,-32.9368975,0.08
99,-30.7944895,0.06
100,-30.707848,0.07
101,-31.421984,0.07
102,-32.314654,0.07
103,-33.517133,0.09
104,-33.091802,0.07
105,-33.9398385,0.08
106,-32.7321085,0.07
107,-31.175186999999998,0.06
108,-31.0307845,0.09
109,-30.912637,0.08
110,-31.479745,0.07
111,-32.382917,0.07
112,-32.585080500000004,0.08
113,-32.881762,0.08
114,-32.876511,0.08
115,-31.737044,0.05
116,-32.824000999999996,0.08
117,-31.372099499999997,0.08
118,-32.369789499999996,0.08
119,-32.073108,0.06
120,-32.414423,0.07
121,-33.6930415,0.08
122,-33.4830015,0.08
123,-31.999594,0.08
124,-31.836813,0.08
125,-32.088861,0.07
126,-33.727173,0.09
127,-31.878821,0.07
128,-32.535196,0.07
129,-32.8581325,0.08
130,-30.728852000000003,0.08
131,-31.432486,0.07
132,-32.87126,0.08
133,-33.1101805,0.08
134,-31.267079499999998,0.06
135,-31.322215,0.08
136,-31.5191275,0.06
137,-31.316964,0.08
138,-32.4695585,0.08
139,-32.367164,0.08
140,-33.391109,0.08
141,-33.711420000000004,0.09
142,-32.787244,0.08
143,-32.8213755,0.07
144,-31.40098,0.09
145,-30.2641385,0.06
146,-29.7442895,0.08
147,-32.613961,0.07
148,-31.6083945,0.09
149,-34.136751,0.09
150,-31.1463065,0.08
151,-30.6527125,0.08
152,-33.590647,0.09
153,-31.322215,0.07
154,-33.23883,0.08
155,-33.769181,0.06
156,-33.251957499999996,0.06
157,-32.0284745,0.09
158,-32.540447,0.09
159,-32.2332635,0.09
160,-29.980584500000003,0.08
161,-31.379976000000003,0.07
162,-31.469243,0.06
163,-31.0360355,0.08
164,-32.545698,0.06
165,-31.4141075,0.07
166,-33.091802,0.08
167,-30.114485,0.08
168,-34.2706515,0.07
169,-31.936581999999998,0.07
170,-31.7501715,0.07
171,-30.944143,0.08
172,-30.356030999999998,0.08
173,-32.1439965,0.07
174,-30.917888,0.08
175,-33.170567,0.07
176,-32.642841499999996,0.07
177,-30.3901625,0.07
178,-32.007470500000004,0.07
179,-32.312028500000004,0.07
180,-31.947084,0.08
181,-34.0343565,0.07
182,-33.296591,0.06
183,-31.1358045,0.08
184,-31.306462,0.07
185,-32.674347499999996,0.08
186,-34.013352499999996,0.07
187,-32.1650005,0.08
188,-33.039291999999996,0.08
189,-32.0547295,0.09
190,-33.02879,0.07
191,-32.4748095,0.08
192,-32.860758,0.07
193,-31.700287,0.08
194,-32.824000999999996,0.07
195,-33.7560535,0.07
196,-32.495813500000004,0.06
197,-32.3382835,0.08
198,-33.4094875,0.07
199,-30.82337,0.09
200,-33.1469375,0.06
201,-33.9555915,0.07
202,-32.9841565,0.08
203,-32.629714,0.08
204,-31.957586000000003,0.07
205,-31.4193585,0.08
206,-30.9205135,0.09
207,-32.104614,0.08
208,-32.7846185,0.09
209,-32.456431,0.08
210,-31.406231000000002,0.07
211,-32.577204,0.06
212,-32.435427000000004,0.08
213,-31.826311,0.06
214,-32.0337255,0.08
215,-31.196191,0.08
216,-33.3674795,0.08
217,-32.1702515,0.08
218,-31.561135500000002,0.07
219,-31.9969685,0.06
220,-31.395729,0.07
221,-31.3458445,0.08
222,-31.458741,0.06
223,-33.0209135,0.08
224,-30.6212065,0.08
225,-31.1463065,0.07
226,-33.716671,0.07
227,-31.122677,0.05
228,-29.0144005,0.08
229,-31.306462,0.06
230,-31.721291,0.09
231,-31.731793,0.08
232,-32.2437655,0.08
233,-33.175818,0.06
234,-31.9654625,0.07
235,-33.7508025,0.08
236,-32.792494999999995,0.07
237,-31.8184345,0.08
238,-32.1492475,0.05
239,-31.0045295,0.09
240,-31.857817,0.06
241,-30.8627525,0.07
242,-31.7974305,0.06
243,-31.831561999999998,0.08
244,-33.3044675,0.06
245,-31.156808500000004,0.09
246,-32.577204,0.09
247,-33.627404,0.08
248,-32.81875,0.08
249,-31.7869285,0.08
250,-33.989723,0.06
251,-30.994027499999998,0.08
252,-32.5903315,0.07
253,-32.262144,0.05
254,-31.763299,0.08
255,-31.3773505,0.08
256,-32.256893,0.08
257,-32.1702515,0.07
258,-31.112174999999997,0.07
259,-33.853196999999994,0.07
260,-32.319905,0.07
261,-33.220451499999996,0.07
262,-33.0629215,0.09
263,-33.314969500000004,0.07
264,-31.926080000000002,0.08
265,-30.7787365,0.07
266,-31.708163499999998,0.08
267,-31.8499405,0.06
268,-30.975648999999997,0.08
269,-31.647777,0.09
270,-31.2828325,0.06
271,-32.3277815,0.07
272,-32.096737499999996,0.07
273,-31.028159000000002,0.08
274,-31.794804999999997,0.08
275,-33.044543,0.06
276,-31.164685000000002,0.08
277,-31.248700999999997,0.05
278,-32.225387,0.07
279,-30.3218995,0.07
280,-31.130553499999998,0.05
281,-31.267079499999998,0.08
282,-33.4147385,0.06
283,-30.6632145,0.07
284,-30.692095000000002,0.08
285,-33.301842,0.05
286,-31.7291675,0.08
287,-31.2093185,0.08
288,-32.7163555,0.07
289,-32.529945,0.08
290,-31.500749,0.09
291,-30.1118595,0.06
292,-33.438368000000004,0.08
293,-32.755738,0.08
294,-31.306462,0.08
295,-30.445298,0.09
296,-30.904760500000002,0.07
297,-32.493187999999996,0.09
298,-31.211944,0.07
299,-32.4643075,0.07
300,-32.9946585,0.09
301,-33.559141,0.1
302,-32.0757335,0.07
303,-31.645151499999997,0.07
304,-34.593588000000004,0.08
305,-32.850256,0.08
306,-33.5985235,0.06
307,-32.0179725,0.07
308,-31.4561155,0.08
309,-31.653028000000003,0.06
310,-32.0284745,0.08
311,-32.5798295,0.09
312,-32.6953515,0.07
313,-32.692726,0.1
314,-32.4748095,0.08
315,-32.482686,0.06
316,-31.626773,0.08
317,-31.306462,0.06
318,-30.5319395,0.08
319,-29.844058500000003,0.09
320,-32.944774,0.1
321,-31.148932,0.09
322,-32.781993,0.07
323,-32.298901,0.07
324,-32.424925,0.07
325,-33.1521885,0.09
326,-32.944774,0.06
327,-30.986151,0.06
328,-31.61102,0.08
329,-31.4613665,0.07
330,-32.096737499999996,0.08
331,-31.9234545,0.08
332,-31.138430000000003,0.08
333,-31.7029125,0.07
334,-31.9864665,0.08
335,-31.831561999999998,0.07
336,-31.842064,0.1
337,-31.595267,0.06
338,-31.645151499999997,0.08
339,-30.965147,0.08
340,-30.825995499999998,0.09
341,-31.2408245,0.08
342,-31.403605499999998,0.08
343,-30.040971000000003,0.06
344,-30.623832000000004,0.08
345,-31.096422,0.09
346,-30.912637,0.06
347,-31.0832945,0.09
348,-30.833872,0.08
349,-30.482055000000003,0.09
350,-31.390477999999998,0.06
351,-30.857501499999998,0.07
352,-30.812867999999998,0.08
353,-31.637275,0.07
354,-31.6556535,0.07
355,-31.125302499999997,0.07
356,-31.773801,0.07
357,-30.907386,0.08
358,-30.9205135,0.08
359,-32.5535745,0.09
360,-32.24114,0.08
361,-33.4724995,0.07
362,-31.495497999999998,0.08
363,-30.854876,0.06
364,-32.2017575,0.06
365,-30.398039,0.08
366,-30.5897005,0.07
367,-32.08361,0.07
368,-30.7367285,0.09
369,-32.141371,0.09
370,-32.254267500000005,0.06
371,-33.073423500000004,0.08
372,-31.71604,0.07
373,-32.839754,0.09
374,-31.4823705,0.06
375,-30.6947205,0.07
376,-32.3015265,0.09
377,-31.674032,0.08
378,-31.361597500000002,0.06
379,-31.4088565,0.08
380,-30.975648999999997,0.08
381,-32.9316465,0.09
382,-32.787244,0.08
383,-30.552943499999998,0.09
384,-31.162059499999998,0.07
385,-29.61564,0.08
386,-32.4643075,0.08
387,-30.883756499999997,0.07
388,-30.227381500000003,0.07
389,-31.225071500000002,0.05
390,-32.9894075,0.08
391,-30.944143,0.07
392,-31.138430000000003,0.08
393,-29.7022815,0.1
394,-31.671406500000003,0.07
395,-32.456431,0.07
396,-31.9339565,0.09
397,-32.6480925,0.09
398,-32.2227615,0.08
399,-32.0547295,0.08
400,-32.445929,0.09
401,-28.665209,0.08
402,-30.602828,0.09
403,-31.868319,0.06
404,-33.2572085,0.07
405,-32.0494785,0.09
406,-31.201442,0.06
407,-31.889323,0.07
408,-31.4876215,0.08
409,-31.154183,0.07
410,-30.8680035,0.06
411,-30.6632145,0.07
412,-31.8709445,0.08
413,-31.3563465,0.07
414,-32.0232235,0.08
415,-32.272646,0.06
