model,Gsolv,timing
0,-2834.773354,22.12
1,-2741.5549765,21.65
2,-2797.806314,21.81
3,-2803.3329915,21.83
4,-2725.5210479999996,22.15
5,-2681.2997514999997,22.01
6,-2684.5396185,22.14
7,-2763.238981,21.11
8,-2732.3998579999998,21.19
9,-2790.1792365,21.41
10,-2719.361625,22.12
11,-2630.1550115,21.43
12,-2637.5536705,21.49
13,-2617.0537664999997,21.89
14,-2557.4601675,22.95
15,-2658.975125,23.12
16,-2703.8186650000002,22.18
17,-2679.4225189999997,22.88
18,-2677.862972,22.71
19,-2713.2415845,21.95
20,-2596.8951775,22.43
21,-2660.5031659999995,22.51
22,-2601.1274835,22.85
23,-2655.5961065,22.96
24,-2694.487638,22.55
25,-2639.1499745,23.58
26,-2564.8745795,22.72
27,-2684.0801560000004,23.21
28,-2644.2618230000003,22.67
29,-2659.1641609999997,23.18
30,-2607.2396475,22.38
31,-2528.6636835,22.88
32,-2559.290141,22.38
33,-2594.419331,22.18
34,-2589.0711875,22.41
35,-2582.5179395,21.44
36,-2668.9809055,21.67
37,-2700.3871365,22.33
38,-2653.2935429999998,21.67
39,-2681.864234,21.9
40,-2680.4805955,21.74
41,-2703.0598955,21.68
42,-2597.5436760000002,22.41
43,-2760.1828990000004,21.56
44,-2645.8712545000003,22.19
45,-2610.5451519999997,22.61
46,-2697.2627915000003,21.28
47,-2659.321691,21.95
48,-2616.426272,22.13
49,-2688.6275219999998,22.28
50,-2663.4253475,21.57
51,-2603.0020904999997,21.68
52,-2657.615116,21.7
53,-2658.1349649999997,22.09
54,-2594.7186380000003,21.23
55,-2612.309488,21.24
56,-2615.481092,21.29
57,-2574.9459975,21.75
58,-2583.796558,21.31
59,-2649.0796155,21.69
60,-2705.189176,22.01
61,-2671.2913455000003,21.69
62,-2623.6437715,21.88
63,-2629.3043495,21.65
64,-2561.5717005,21.24
65,-2568.9099730000003,21.16
66,-2524.118943,22.1
67,-2645.957896,22.86
68,-2640.0662740000002,22.07
69,-2655.8271505000002,21.76
70,-2650.4816324999997,21.92
71,-2649.8147555,21.96
72,-2681.8353535,21.45
73,-2648.530886,21.36
74,-2665.811927,21.11
75,-2622.7458505,21.49
76,-2708.25576,22.03
77,-2659.6866354999997,20.95
78,-2733.6889785,21.6
79,-2708.686342,21.33
80,-2709.5133745000003,21.49
81,-2718.432198,21.22
82,-2718.8181465000002,22.04
83,-2732.9118304999997,21.8
84,-2604.5773905,22.37
85,-2717.8362095,21.67
86,-2750.710095,21.7
87,-2692.9727245,22.37
88,-2677.757952,21.56
89,-2722.3835755,21.83
90,-2692.0590504999996,21.41
91,-2684.9518220000004,20.99
92,-2579.543248,20.86
93,-2587.7741905000003,21.19
94,-2610.6843035,20.77
95,-2619.2539355,20.8
96,-2603.713601,21.58
97,-2684.2508135000003,21.21
98,-2697.8193975,21.17
99,-2665.9773335,21.43
100,-2693.0567404999997,21.13
101,-2679.6614395,22.43
102,-2778.640164,22.87
103,-2753.949962,22.12
104,-2596.4225875,21.9
105,-2607.284281,20.93
106,-2634.726007,20.76
107,-2593.710446,20.62
108,-2713.6669155000004,21.21
109,-2735.576713,21.07
110,-2672.4413145,21.04
111,-2625.23745,20.82
112,-2631.060809,20.58
113,-2704.0943425,20.9
114,-2630.9662909999997,20.68
115,-2665.2264405,20.94
116,-2619.8052905,20.57
117,-2632.111009,19.85
118,-2575.5603645,20.37
119,-2587.3488595,19.79
120,-2599.2423745,20.39
121,-2638.3308185,19.94
122,-2599.155733,20.79
123,-2567.980546,20.32
124,-2655.6801225,21.82
125,-2709.7050360000003,21.55
126,-2690.906456,21.17
127,-2710.51369,20.67
128,-2757.61516,20.86
129,-2710.6974750000004,20.65
130,-2715.5704029999997,21.45
131,-2585.8365715,20.74
132,-2671.220457,20.99
133,-2703.1281584999997,20.17
134,-2666.1716205,20.88
135,-2636.044008,20.89
136,-2714.667231,21.33
137,-2701.6683805,21.16
138,-2671.7350549999996,21.1
139,-2693.195892,20.75
140,-2644.19356,21.48
141,-2593.9651195,20.48
142,-2703.4012105,21.88
143,-2636.3249365,21.46
144,-2653.9971769999997,21.19
145,-2628.2436475,21.62
146,-2627.3509774999998,21.88
147,-2598.767159,21.48
148,-2645.2883934999995,22.8
149,-2634.410947,22.67
150,-2609.7758805,21.54
151,-2614.2969915,21.04
152,-2573.032008,23.3
153,-2587.283222,21.83
154,-2587.9999835,21.18
155,-2641.126976,22.23
156,-2574.8331009999997,21.68
157,-2603.939394,21.55
158,-2714.9691635,20.97
159,-2628.6899825,21.36
160,-2595.5719255,21.25
161,-2635.6029240000003,21.2
162,-2623.063536,21.42
163,-2578.829112,21.82
164,-2594.5059725,21.95
165,-2699.0796375,21.31
166,-2594.4534625,21.89
167,-2544.650353,21.05
168,-2565.4731935,21.71
169,-2619.1515409999997,21.15
170,-2715.176578,21.89
171,-2656.843219,21.82
172,-2676.7602620000002,22.32
173,-2651.256155,21.65
174,-2674.0481205,21.85
175,-2644.7344129999997,21.33
176,-2573.504598,20.99
177,-2635.0962025,21.32
178,-2575.956815,21.83
179,-2682.321071,23.07
180,-2629.9607244999997,21.38
181,-2690.3235950000003,22.09
182,-2689.8273755000005,22.01
183,-2682.793661,22.54
184,-2726.9388179999996,22.23
185,-2713.4043655,23.12
186,-2619.4219675,23.29
187,-2606.0713,22.12
188,-2661.9865735000003,22.26
189,-2697.6776204999996,23.5
190,-2621.388467,22.31
191,-2660.818226,22.88
192,-2697.3678115000002,22.17
193,-2675.652301,21.55
194,-2693.206394,22.73
195,-2623.987712,21.55
196,-2643.531934,22.08
197,-2657.2974305,22.38
198,-2608.0903095,21.76
199,-2649.0691135,21.24
200,-2679.6666905,21.59
201,-2731.6358375,21.62
202,-2650.720553,22.87
203,-2589.9796105,22.61
204,-2686.7765445,22.29
205,-2672.2522784999996,23.03
206,-2749.3107035,22.31
207,-2667.6366494999997,22.76
208,-2776.8915810000003,23.15
209,-2749.239815,22.44
210,-2685.9232570000004,22.02
211,-2698.0924495,22.35
212,-2675.9752375000003,22.41
213,-2608.502513,22.99
214,-2668.5476980000003,23.01
215,-2585.2353319999997,22.63
216,-2580.2337545,22.69
217,-2532.9432485,23.1
218,-2584.936025,22.14
219,-2664.0344635,22.27
220,-2632.7831370000004,23.48
221,-2699.344813,23.09
222,-2780.866588,22.71
223,-2732.4182365,22.95
224,-2689.4755585000003,22.82
225,-2650.1193135,22.8
226,-2649.5810859999997,23.22
227,-2690.9825955,23.87
228,-2703.9709439999997,23.73
229,-2723.8013455,23.51
230,-2665.0872889999996,23.39
231,-2669.3852325000003,23.95
232,-2720.527347,23.19
233,-2695.1571405000004,23.24
234,-2699.5522275000003,23.09
235,-2746.498793,23.35
236,-2808.7388960000003,23.65
237,-2682.352577,23.45
238,-2682.415589,23.11
239,-2739.535967,21.95
240,-2683.0247050000003,22.0
241,-2708.4342939999997,22.8
242,-2666.3186485,22.07
243,-2702.117341,23.55
244,-2732.378854,22.58
245,-2702.7920945,22.84
246,-2709.715538,21.67
247,-2685.0069574999998,22.61
248,-2716.07975,23.13
249,-2678.3408130000003,21.74
250,-2631.2761,23.85
251,-2632.0716264999996,22.02
252,-2683.6994585,22.01
253,-2803.970988,21.99
254,-2747.512236,22.16
255,-2741.5444745000004,21.83
256,-2728.5797555,22.23
257,-2734.6997960000003,22.38
258,-2742.6340569999998,21.76
259,-2807.4760304999995,22.02
260,-2728.125544,22.29
261,-2678.3985740000003,22.5
262,-2681.0135720000003,22.77
263,-2780.19446,22.43
264,-2754.2991534999996,22.68
265,-2772.706534,22.35
266,-2684.148419,22.13
267,-2658.1953515,23.02
268,-2741.972431,22.28
269,-2627.0831765,22.36
270,-2758.497328,23.45
271,-2626.8521325,23.46
272,-2695.1886465,23.25
273,-2789.8930569999998,23.15
274,-2765.6806960000004,22.16
275,-2781.8616525,21.72
276,-2768.4611005,22.48
277,-2766.6127485,23.52
278,-2739.0843809999997,22.8
279,-2731.6253355,23.08
280,-2767.6104385,23.05
281,-2703.183294,22.69
282,-2746.1443505,23.47
283,-2810.1697935,22.53
284,-2719.933984,22.8
285,-2756.0057285,23.52
286,-2732.609898,23.27
287,-2766.0298875000003,22.89
288,-2718.216907,22.15
289,-2733.3004045,22.84
290,-2779.685113,22.51
291,-2747.7984155,22.47
292,-2775.8151260000004,22.64
293,-2812.0706555,22.95
294,-2785.513723,22.85
295,-2835.004398,23.17
296,-2907.8987800000004,22.52
297,-2765.4155204999997,22.25
298,-2819.8893945,21.82
299,-2873.4994789999996,23.18
300,-2804.0497530000002,22.78
301,-2704.837359,22.21
302,-2783.833403,22.35
303,-2750.0064610000004,22.96
304,-2751.4924939999996,23.22
305,-2746.5618050000003,23.05
306,-2717.2480975,23.75
307,-2779.947663,23.27
308,-2776.15119,23.32
309,-2702.8813615000004,23.47
310,-2791.8648074999996,23.6
311,-2735.0279835,23.95
312,-2731.223634,24.27
313,-2698.467896,24.78
314,-2680.1760375000003,23.73
315,-2742.880854,24.38
316,-2708.355529,23.63
317,-2743.6606275,23.5
318,-2741.106016,23.61
319,-2670.6008389999997,23.67
320,-2672.65398,23.71
321,-2699.6992555,23.56
322,-2684.9491964999997,24.13
323,-2647.1472475,23.98
324,-2688.3387169999996,22.99
325,-2653.7950135,24.12
326,-2585.193324,22.61
327,-2644.398349,23.69
328,-2762.0181235,22.8
329,-2837.372599,23.32
330,-2842.9780415,23.64
331,-2753.88695,22.64
332,-2805.1393355,24.0
333,-2745.1676645000002,22.89
334,-2767.3688925,23.25
335,-2729.800613,23.06
336,-2803.9473585,22.44
337,-2752.122614,22.6
338,-2697.2155325,21.8
339,-2755.7221744999997,21.73
340,-2749.701903,22.4
341,-2711.6610335,21.54
342,-2709.5081235000002,22.55
343,-2680.6643805,22.72
344,-2643.45842,21.61
345,-2659.3426950000003,21.84
346,-2678.409076,22.09
347,-2657.5599804999997,23.05
348,-2667.6786575,22.84
349,-2736.6321639999996,22.28
350,-2687.950143,22.79
351,-2546.031366,22.22
352,-2674.171519,22.14
353,-2674.560093,22.45
354,-2664.1027265,22.45
355,-2652.3273590000003,21.87
