model,Gsolv,timing
0,-67.9663185,0.06
1,-60.8669665,0.06
2,-70.216372,0.06
3,-70.610197,0.06
4,-70.1874915,0.05
5,-64.73957899999999,0.06
6,-67.1944215,0.05
7,-79.92809650000001,0.06
8,-65.096647,0.06
9,-63.726136,0.05
10,-71.807425,0.05
11,-64.3851365,0.05
12,-60.0950695,0.05
13,-64.28536749999999,0.05
14,-68.5281755,0.08
15,-63.185283,0.04
16,-70.37127650000001,0.05
17,-63.2824265,0.06
18,-64.4061405,0.05
19,-68.5124225,0.06
20,-64.645061,0.06
21,-65.73989449999999,0.05
22,-69.549495,0.06
23,-63.68150249999999,0.06
24,-71.408349,0.07
25,-65.516727,0.05
26,-69.223933,0.06
27,-85.06094900000001,0.06
28,-63.474088,0.07
29,-68.7802235,0.06
30,-66.8373535,0.04
31,-71.1221695,0.05
32,-67.34144950000001,0.05
33,-70.46316900000001,0.05
34,-71.39522149999999,0.04
35,-67.95319099999999,0.07
36,-69.770037,0.06
37,-66.992258,0.06
38,-67.065772,0.05
39,-63.999188,0.07
40,-67.00276000000001,0.05
41,-67.9190595,0.05
42,-67.008011,0.08
43,-66.1127155,0.05
44,-80.098754,0.07
45,-70.9856435,0.06
46,-60.990365000000004,0.06
47,-69.6361365,0.05
48,-68.903622,0.05
49,-67.1524135,0.06
50,-67.134035,0.06
51,-70.73359549999999,0.06
52,-69.2633155,0.06
53,-69.70965050000001,0.04
54,-65.96306200000001,0.06
55,-62.626051499999996,0.06
56,-70.5445595,0.07
57,-62.324118999999996,0.06
58,-72.5241865,0.06
59,-64.8052165,0.05
60,-68.987638,0.05
61,-67.3992105,0.04
62,-64.708073,0.05
63,-62.135083,0.06
64,-68.583311,0.06
65,-63.9965625,0.05
66,-71.12479499999999,0.06
67,-69.533742,0.06
68,-62.872848499999996,0.07
69,-67.307318,0.05
70,-63.907295500000004,0.05
71,-64.681818,0.05
72,-69.412969,0.04
73,-69.9301925,0.07
74,-61.63886350000001,0.06
75,-63.576482500000004,0.05
76,-62.4632705,0.06
77,-68.7434665,0.04
78,-67.39395950000001,0.06
79,-69.985328,0.05
80,-65.3250655,0.06
81,-67.33094750000001,0.05
82,-63.143274999999996,0.05
83,-69.27381749999999,0.06
84,-64.4271445,0.05
85,-60.6989345,0.06
86,-64.09108049999999,0.04
87,-73.970837,0.07
88,-73.2120675,0.07
89,-65.96306200000001,0.06
90,-65.595492,0.05
91,-67.8192905,0.05
92,-71.1799305,0.06
93,-64.16984550000001,0.07
94,-68.241996,0.07
95,-69.8146705,0.07
96,-65.542982,0.06
97,-64.8157185,0.05
98,-62.8675975,0.06
99,-65.973564,0.06
100,-69.1425425,0.05
101,-68.583311,0.05
102,-66.62468799999999,0.05
103,-74.096861,0.06
104,-66.3385085,0.07
105,-63.95718,0.05
106,-69.8146705,0.08
107,-64.356256,0.06
108,-64.776336,0.06
109,-71.103791,0.06
110,-68.005701,0.06
111,-69.749033,0.04
112,-63.978184,0.07
113,-64.403515,0.07
114,-69.0585265,0.05
115,-64.80784200000001,0.06
116,-69.8041685,0.07
117,-67.33094750000001,0.06
118,-75.0026585,0.07
119,-71.949202,0.05
120,-67.0631465,0.06
121,-64.6896945,0.06
122,-64.687069,0.06
123,-67.008011,0.06
124,-67.26268449999999,0.07
125,-71.135297,0.06
126,-69.26069,0.06
127,-69.8304235,0.05
128,-65.2042925,0.06
129,-71.093289,0.05
130,-60.54665550000001,0.04
131,-70.478922,0.07
132,-70.4500415,0.05
133,-67.6197525,0.08
134,-61.8909115,0.05
135,-61.998557,0.05
136,-69.108411,0.04
137,-67.480601,0.06
138,-64.89973450000001,0.06
139,-61.426198,0.05
140,-67.291565,0.06
141,-67.092027,0.05
142,-62.649681,0.06
143,-66.5012895,0.06
144,-63.571231499999996,0.08
145,-64.6949455,0.06
146,-65.1124,0.06
147,-63.8390325,0.06
148,-69.197678,0.06
149,-65.527229,0.07
150,-61.6756205,0.07
151,-65.8921735,0.05
152,-65.5298545,0.05
153,-63.500343,0.07
154,-68.399526,0.06
155,-62.5787925,0.05
156,-69.2528135,0.06
157,-66.2754965,0.06
158,-65.9289305,0.07
159,-65.5351055,0.08
160,-66.6220625,0.06
161,-66.241365,0.06
162,-68.74609199999999,0.04
163,-67.0473935,0.07
164,-72.547816,0.07
165,-69.812045,0.05
166,-68.898371,0.07
167,-64.0858295,0.07
168,-69.507487,0.06
169,-61.042875,0.06
170,-68.982387,0.06
171,-63.4557095,0.06
172,-70.39490599999999,0.07
173,-62.641804500000006,0.05
174,-63.0881395,0.06
175,-65.180663,0.05
176,-62.339872,0.05
177,-61.6441145,0.04
178,-68.97976150000001,0.05
179,-69.8094195,0.06
180,-65.0415115,0.05
181,-71.161552,0.06
182,-64.16459449999999,0.05
183,-67.800912,0.06
184,-68.74609199999999,0.05
185,-63.909921,0.07
186,-67.680139,0.04
187,-67.9453145,0.05
188,-68.32601199999999,0.06
189,-68.2603745,0.08
190,-66.60105850000001,0.06
191,-71.6630225,0.04
192,-67.018513,0.05
193,-67.375581,0.07
194,-67.3361985,0.04
195,-66.92399499999999,0.06
196,-73.282956,0.06
197,-60.307735,0.06
198,-62.329370000000004,0.05
199,-68.10809549999999,0.05
200,-66.87148499999999,0.07
201,-65.9551855,0.06
202,-64.6109295,0.05
203,-65.1255275,0.06
204,-70.121854,0.07
205,-67.87705150000001,0.05
206,-71.271823,0.06
207,-66.0917115,0.07
208,-59.740626999999996,0.05
209,-75.02628800000001,0.05
210,-79.02754999999999,0.07
211,-72.626581,0.06
212,-70.6600815,0.06
213,-72.43491949999999,0.05
214,-70.741472,0.06
215,-65.3933285,0.04
216,-67.2311785,0.06
217,-64.49278199999999,0.05
