model,Gsolv,timing
0,-13932.1763675,24.2
1,-14203.9051155,24.64
2,-14201.4686515,24.35
3,-14082.6175175,24.59
4,-13946.372446000001,24.65
5,-13507.346838,23.73
6,-13595.316841,22.9
7,-14159.773086,23.88
8,-13949.591309000001,23.67
9,-13927.5817425,23.36
10,-13792.155827,23.99
11,-13683.5625215,23.76
12,-13562.0596325,23.44
13,-13746.516760499999,23.12
14,-14020.345908500001,24.03
15,-13737.272374999999,23.88
16,-14135.308677,23.0
17,-14060.240381,23.27
18,-13966.313118499998,23.48
19,-13774.775016999998,23.46
20,-13807.367974,23.68
21,-13844.6579505,23.79
22,-13741.1764935,23.71
23,-13765.317965999999,23.38
24,-13890.751228500001,23.33
25,-13642.512829,24.13
26,-13565.506914,23.6
27,-13497.8451535,23.18
28,-13361.6762215,23.6
29,-13559.60479,23.34
30,-13532.4124865,23.63
31,-13628.062077,23.93
32,-13550.3499025,23.22
33,-13473.097190499999,22.91
34,-13483.512549,23.51
35,-13586.274619,23.92
36,-13910.116916500001,23.2
37,-13828.765798999999,23.59
38,-13906.811412,24.32
39,-14025.6126615,24.43
40,-13738.0416465,25.35
41,-13748.336232,24.89
42,-13431.903095500002,23.55
43,-13697.687711499999,24.63
44,-13705.776876999998,23.32
45,-13486.9808345,21.97
46,-13812.240902000001,23.65
47,-13717.623133,22.41
48,-13908.854051,22.08
49,-13986.6187355,22.96
50,-13642.334295,23.01
51,-13791.255280500001,23.51
52,-13850.4077955,23.01
53,-14116.846161,23.17
54,-13803.923318,25.04
55,-13911.3193955,24.88
56,-13860.2166635,23.6
57,-13977.292959499999,23.87
58,-13544.912492000001,22.64
59,-13861.988876000001,22.98
60,-13830.299090999999,22.83
61,-13936.175004,23.36
62,-13814.341302,23.97
63,-14197.5776605,23.07
64,-13924.570294000001,23.13
65,-14246.944937,23.52
66,-14356.058091500001,24.51
67,-14242.148148499999,24.02
68,-14434.101079000002,24.07
69,-14515.0216145,24.61
70,-14464.598886999998,23.77
71,-14282.2972945,23.69
72,-14386.939222500001,24.95
73,-13981.412369,23.22
74,-14199.040063999999,23.69
75,-14270.763472999999,24.25
76,-14602.3614975,24.53
77,-14473.9010335,24.49
78,-14490.260524,24.38
79,-14644.1332025,24.46
80,-14474.2633525,24.25
81,-14520.9289895,24.31
82,-14275.835938999999,23.98
83,-14423.929892,25.07
84,-14185.965074,23.4
85,-13865.8037275,24.21
86,-14040.307585,23.35
87,-13925.5758605,23.53
88,-14116.289555000001,25.22
89,-13824.026771499999,24.1
90,-14115.958741999999,23.45
91,-14192.998788500001,24.63
92,-14250.2819475,23.77
93,-14217.749377,24.46
94,-13839.8742895,23.99
95,-13842.544423,23.7
96,-14017.7204085,23.77
97,-14298.856323,24.67
98,-14116.707009500002,24.06
99,-14127.833878500001,24.05
100,-14202.978314,23.64
101,-14280.953038499998,23.13
102,-14280.522456499999,23.08
103,-13780.1704195,23.32
104,-13792.5785325,23.98
105,-13633.659642999999,23.61
106,-13502.445029499999,22.84
107,-13740.995334,24.12
108,-13821.4327775,23.76
109,-13645.7763255,24.22
110,-13731.858594,24.72
111,-13945.1830945,23.63
112,-13698.619764,23.97
113,-13832.9219655,23.95
114,-13936.3981715,24.65
115,-13959.652225000002,24.55
116,-13970.2356155,24.12
117,-13714.5329195,23.88
118,-13573.6695935,23.99
119,-13450.6071575,23.57
120,-13487.960146000001,22.91
121,-13870.9129505,23.55
122,-14440.761972499999,23.82
123,-14435.841785499999,23.79
124,-14422.653899,23.06
125,-14057.058275,23.91
126,-14315.6673995,24.79
127,-13941.9957375,24.09
128,-13828.8524405,23.87
129,-13938.979038,24.08
130,-14029.353999,24.18
131,-14578.4589455,24.87
132,-14535.952100499999,24.39
133,-14620.41181,24.76
134,-14835.182961,24.03
135,-14791.253094999998,24.01
136,-14551.9623995,24.6
137,-14600.7126835,25.14
138,-14370.028376999999,24.76
139,-14570.7137205,26.17
140,-14346.761196,25.05
141,-14572.023845,24.46
142,-14468.550264500002,24.97
143,-14668.56348,24.89
144,-14816.079823,25.95
145,-14433.990808,25.43
146,-14472.7720685,24.9
147,-14647.745890499998,24.77
148,-14309.413458500001,24.49
149,-14660.6055895,25.06
150,-14465.586075,24.55
151,-14881.060948,23.22
152,-14665.544155000001,24.89
153,-14447.877077500001,24.73
154,-14601.103883,25.08
155,-14470.999856,24.42
156,-14667.203470999999,24.77
157,-14701.111803500002,24.56
158,-15107.363295,24.84
159,-14942.807457,24.53
160,-14945.858288,24.55
161,-14942.6683055,24.53
162,-14364.9375325,25.1
163,-14436.269742,25.32
164,-14107.7015445,25.29
165,-14003.933907999999,24.08
166,-14235.710422499998,24.57
167,-14420.044152,25.08
168,-14057.788164,23.72
169,-14101.1482965,24.46
170,-14128.792185999999,24.19
171,-14573.1081765,24.13
172,-14080.790169500002,24.87
173,-14146.469677500001,24.22
174,-14418.413716500001,24.13
175,-13949.370767,24.5
176,-13926.9148655,24.36
177,-13990.6725075,24.91
178,-14305.0236225,25.07
179,-14268.358515,24.63
180,-14235.991351,24.13
181,-14038.2360655,23.92
182,-14285.014687,24.86
183,-14031.1682195,23.88
184,-13754.175344,24.49
185,-13743.809870000001,24.13
186,-13909.295135,24.07
187,-14213.3936725,24.24
188,-13986.416571999998,24.19
189,-14260.760318,23.43
190,-14230.5749445,24.26
191,-14509.4555545,24.63
192,-14267.723144,23.71
193,-14406.241898499999,23.84
194,-14687.425072,22.24
195,-14733.8832945,23.97
196,-14332.880177500001,24.92
197,-14427.9862895,24.69
198,-14610.925878499998,24.27
199,-14799.069208500001,23.69
200,-14706.150138,23.88
201,-14875.620911999998,23.84
202,-14562.627180500001,23.82
