model,Gsolv,timing
0,-0.48834299999999997,0.05
1,-0.9031720000000001,0.05
2,-0.9766859999999999,0.05
3,-2.0767705000000003,0.06
4,-1.6776945,0.06
5,-0.120773,0.05
6,-1.6041805,0.06
7,-1.0449490000000001,0.05
8,-1.433523,0.06
9,-1.4729055,0.06
10,-0.750893,0.05
11,-0.6379965,0.07
12,-1.0370725,0.06
13,-1.491284,0.05
14,-0.9110484999999999,0.05
15,-1.554296,0.05
16,-0.23366949999999997,0.06
17,-1.197228,0.06
18,-1.291746,0.06
19,-0.582861,0.06
20,-1.034447,0.05
21,-0.4227055,0.05
22,-1.1946025,0.06
23,-0.493594,0.05
24,-0.0078765,0.05
25,-0.0183785,0.05
26,-0.6117415,0.06
27,-0.6117415,0.06
28,-1.2628655,0.04
29,-1.1447180000000001,0.04
30,-0.651124,0.04
31,-1.071204,0.05
32,-0.7692715000000001,0.05
33,-0.5277255000000001,0.06
34,-1.41777,0.04
35,-0.336064,0.06
36,-0.5224745000000001,0.04
37,-1.223483,0.05
38,-0.7115104999999999,0.05
39,-1.1788495,0.05
40,-1.2576144999999999,0.07
41,-0.5461039999999999,0.06
42,-1.1683474999999999,0.04
43,0.189036,0.06
44,-1.41777,0.05
45,-0.6169924999999999,0.05
46,-0.28092849999999997,0.04
47,-1.6304355000000001,0.06
48,-0.6012395,0.05
49,-0.7115104999999999,0.06
50,-1.5411685,0.04
51,-0.115522,0.06
52,-1.62781,0.06
53,-0.7850245,0.04
54,-0.955682,0.06
55,-0.955682,0.06
56,-1.7459575,0.06
57,-1.4597779999999998,0.05
58,-1.139467,0.04
59,-0.5119724999999999,0.06
60,-1.4440250000000001,0.06
61,-1.6724435,0.05
62,-1.1315905,0.06
63,-0.908423,0.04
64,-1.0528255,0.05
65,-1.7302045,0.05
66,-1.512288,0.05
67,-0.514598,0.06
68,-0.4594625,0.06
69,-1.4781565,0.05
70,-1.3993915000000001,0.05
71,-1.4650290000000001,0.06
72,-0.0971435,0.05
73,-0.5802355,0.05
74,-0.7115104999999999,0.05
75,-1.900862,0.04
76,-1.4886585,0.04
77,-1.9953800000000002,0.06
78,-1.5516705000000002,0.07
79,-0.3806975,0.06
80,-1.6146825,0.06
81,-0.9110484999999999,0.05
82,-0.876917,0.06
83,-1.7617105000000002,0.06
84,-0.4069525,0.06
85,-1.071204,0.06
86,-0.23366949999999997,0.06
87,-0.8349089999999999,0.07
88,-1.0160685,0.07
89,-0.5014705,0.05
90,-0.48571749999999997,0.05
91,-1.081706,0.06
92,-0.908423,0.05
93,-0.8637894999999999,0.05
94,-0.740391,0.06
95,-1.5332919999999999,0.06
96,-0.9924390000000001,0.04
97,-0.4647135,0.07
98,-0.645873,0.04
99,-0.824407,0.06
100,-1.2838695,0.06
101,-1.9612485000000002,0.06
102,-0.535602,0.04
103,-2.6675079999999998,0.04
104,-2.641253,0.05
105,-1.31275,0.04
106,-0.918925,0.04
107,-1.0633275,0.06
108,-2.074145,0.06
109,-1.0922079999999998,0.05
110,-0.661626,0.06
111,-2.5099780000000003,0.05
112,-1.181475,0.06
113,-0.7272635000000001,0.06
114,-0.3176855,0.05
115,-0.325562,0.04
116,-1.8824835,0.04
117,0.4122035,0.05
118,-0.304558,0.06
119,-0.9898135,0.05
120,-0.493594,0.05
121,-1.8824835,0.07
122,-1.265491,0.05
123,-1.318001,0.05
124,-1.8798579999999998,0.05
125,-0.5749845,0.06
126,-2.8933009999999997,0.05
127,-0.9635585,0.05
128,-0.924176,0.05
129,-1.7433319999999999,0.04
130,-0.414829,0.04
131,-1.323252,0.04
132,-0.0761395,0.04
133,-0.8349089999999999,0.06
134,-0.614367,0.06
135,-1.139467,0.05
136,-1.885109,0.05
137,-0.7220125000000001,0.06
138,-0.4384585,0.04
139,-1.4361484999999998,0.07
140,-1.8693559999999998,0.05
141,-1.748583,0.05
142,-1.6146825,0.06
143,-2.0977745,0.05
144,-0.551355,0.06
145,-1.0318215,0.05
146,-1.2051045,0.04
147,-0.8217815,0.05
148,-2.1555355,0.06
149,-0.8322835000000001,0.06
150,-1.6540650000000001,0.05
151,-0.38594849999999997,0.06
152,-0.267801,0.06
153,-1.4519015,0.05
154,-0.745642,0.05
155,-0.8480365,0.05
156,-2.1607865,0.05
157,-0.514598,0.06
158,-0.414829,0.06
159,-0.042008,0.06
160,-1.685571,0.06
161,-2.1607865,0.07
162,-0.745642,0.06
163,-1.6041805,0.05
164,-2.0400135,0.06
165,-1.20773,0.05
166,-0.19166149999999998,0.05
167,-1.7249535,0.07
168,-0.924176,0.05
169,-2.6071215,0.04
170,-1.2786185,0.05
171,-1.906113,0.05
172,-1.291746,0.06
173,-2.6963885,0.06
174,-0.5723590000000001,0.05
175,-1.748583,0.05
176,-1.20773,0.06
177,-1.1841005,0.06
178,-1.4702799999999998,0.06
179,-0.073514,0.07
180,-0.530351,0.06
181,-0.10502,0.05
182,-0.6484985,0.06
183,-1.4466504999999998,0.04
184,-0.8322835000000001,0.05
185,-0.36756999999999995,0.05
186,-1.1420925,0.05
187,-1.4991605,0.04
188,-1.275993,0.06
189,-0.7115104999999999,0.04
190,-1.9428699999999999,0.05
191,-1.134216,0.05
192,-0.1496535,0.06
193,-1.969125,0.05
194,-1.118463,0.06
195,-0.24417149999999999,0.05
196,-1.6671925,0.04
197,-1.9953800000000002,0.04
198,0.031506,0.05
199,-0.7955265,0.04
200,-0.063012,0.06
201,-1.1525945,0.04
202,-1.6724435,0.05
203,-1.318001,0.05
204,-0.9162995,0.06
205,-0.535602,0.04
206,-0.63012,0.06
207,-0.131275,0.05
208,-0.194287,0.05
209,0.031506,0.05
210,-0.8375345,0.06
211,-0.6983830000000001,0.04
212,-1.6120569999999999,0.05
213,-1.018694,0.06
214,-1.2208575000000002,0.06
215,-0.9714349999999999,0.06
216,-1.212981,0.04
217,-1.6015549999999998,0.05
218,-2.431213,0.06
219,-1.911364,0.04
220,-2.462719,0.06
221,-0.294056,0.05
222,-1.5437939999999999,0.04
223,0.278303,0.06
224,-1.228734,0.05
225,-1.4098935000000001,0.06
226,-1.5726745,0.05
227,-1.0370725,0.05
228,-0.19953800000000002,0.05
229,-0.430582,0.05
230,-0.10502,0.05
231,-0.7587695,0.05
232,-0.49884500000000004,0.04
233,-0.45158600000000004,0.06
234,-1.1683474999999999,0.06
235,-2.021635,0.05
236,-1.2733675,0.05
237,-0.756144,0.05
238,-1.6199335000000001,0.05
239,-0.661626,0.06
240,-1.2891205000000001,0.07
241,-0.5461039999999999,0.06
242,-1.9297425,0.06
243,-0.15753,0.05
244,-0.8270325000000001,0.05
245,-1.449276,0.05
246,-0.7062594999999999,0.06
247,-0.6983830000000001,0.06
248,-0.5697335,0.06
249,-0.283554,0.06
250,-0.47259,0.05
251,-1.4545270000000001,0.05
252,-0.5854865,0.06
253,-0.556606,0.06
254,-0.987188,0.05
255,-1.2733675,0.05
256,-0.8480365,0.05
257,-1.013443,0.06
258,0.341315,0.06
259,-0.7535185,0.04
260,-0.36494449999999995,0.06
261,-0.950431,0.06
262,-1.013443,0.07
263,-0.8585385,0.06
264,-0.966184,0.05
265,-0.9031720000000001,0.05
266,-0.09189249999999999,0.05
267,-0.955682,0.04
268,-1.1368415,0.06
269,-2.194918,0.06
270,-0.5434785,0.05
271,-1.1893515000000001,0.06
272,-1.7722125000000002,0.06
273,-0.45158600000000004,0.05
274,-0.9898135,0.05
275,-2.0452645,0.05
276,-0.336064,0.04
277,-0.6800045,0.06
278,-1.186726,0.06
279,-0.0971435,0.04
280,-0.5487295,0.07
281,-1.7354555,0.05
282,-2.7804045,0.06
283,-2.924807,0.05
284,-0.5776100000000001,0.06
285,0.0551355,0.05
286,-0.94518,0.06
287,-1.071204,0.06
288,-0.6800045,0.05
289,-0.3281875,0.06
290,-0.8979210000000001,0.04
291,-1.2523635,0.05
292,-0.8060284999999999,0.05
293,-0.609116,0.06
294,-2.074145,0.05
295,-1.10271,0.05
296,-1.6645670000000001,0.04
297,-2.6753845,0.04
298,-0.28092849999999997,0.05
299,-0.15753,0.06
300,-1.2996225,0.06
301,-0.39907600000000004,0.06
302,-0.624869,0.05
303,-1.4020169999999998,0.06
304,-1.706575,0.05
305,-0.7220125000000001,0.05
306,-1.8562284999999998,0.06
307,-0.8900445,0.04
308,-1.1841005,0.06
309,-2.032137,0.04
310,-1.1315905,0.07
311,-1.018694,0.06
312,-2.4417150000000003,0.07
313,-0.777148,0.04
314,-0.824407,0.05
315,-0.8585385,0.05
316,-1.4440250000000001,0.05
317,-0.010502,0.06
318,-1.1893515000000001,0.04
319,-1.286495,0.06
320,-1.128965,0.05
321,-0.750893,0.06
322,-2.5546115,0.06
323,-3.4761620000000004,0.06
324,-4.704896,0.06
325,-5.1118485,0.06
326,-4.2506845,0.06
327,-3.187357,0.05
328,-0.619618,0.06
329,-1.83785,0.05
330,-0.960933,0.06
331,-1.6199335000000001,0.05
332,-1.1919769999999998,0.06
333,-1.097459,0.06
334,-0.1759085,0.05
335,-1.2103555,0.06
336,-0.8165305,0.06
337,-2.6701335,0.06
338,-2.7935320000000003,0.07
339,-1.4519015,0.06
340,-0.4909685,0.05
341,-1.6199335000000001,0.06
342,-0.3754465,0.05
343,-0.7062594999999999,0.05
344,-2.903803,0.05
345,-0.7351399999999999,0.04
346,-1.4125189999999999,0.07
347,-0.5224745000000001,0.06
348,-1.36526,0.06
349,-0.5067215,0.07
350,-0.5382275,0.05
351,-2.2868105,0.06
352,-0.7062594999999999,0.06
353,-0.519849,0.06
354,-1.501786,0.05
355,-1.36526,0.04
356,-0.2389205,0.06
357,-2.1292805,0.06
358,-1.5332919999999999,0.06
359,-1.1998535,0.05
360,-0.357068,0.06
361,-0.4069525,0.05
362,-0.5067215,0.06
363,-0.960933,0.07
364,-0.803403,0.06
365,-0.304558,0.06
366,-0.4017015,0.05
367,-0.15753,0.05
368,-0.7718969999999999,0.06
369,-1.3757620000000002,0.05
370,-0.26255,0.07
371,-0.9583075,0.07
372,-1.606806,0.06
373,0.4122035,0.05
374,-1.769587,0.06
375,-1.039698,0.05
376,-1.128965,0.05
377,-2.2920615,0.05
378,-2.0715195,0.05
379,-2.5021014999999998,0.05
380,-1.3573835,0.06
381,-1.265491,0.07
382,-1.0738295,0.06
383,-0.761395,0.05
384,-2.1109020000000003,0.06
385,0.2021635,0.05
386,-1.3888894999999999,0.06
387,-1.3416305,0.06
388,-1.5044115000000002,0.06
389,-0.8322835000000001,0.04
390,-2.2474279999999998,0.06
391,-0.7220125000000001,0.06
392,-1.265491,0.05
393,-1.3836385,0.06
394,-0.677379,0.06
395,-1.0685785,0.05
396,-1.4781565,0.05
397,-1.3888894999999999,0.06
398,-0.4647135,0.05
399,-0.3019325,0.05
400,-1.3337539999999999,0.07
401,-0.845411,0.05
402,-0.7167615,0.05
403,-0.78765,0.07
404,-2.7777789999999998,0.06
405,-0.294056,0.04
406,-0.6852555,0.05
407,-1.496535,0.06
408,-1.9612485000000002,0.05
409,-0.78765,0.06
410,-1.212981,0.06
411,-1.480782,0.06
412,-0.9766859999999999,0.04
413,-1.7144515,0.06
414,-0.5776100000000001,0.06
415,-1.1473435,0.04
416,-0.8952955,0.05
417,-0.6905065,0.05
418,-0.5067215,0.07
419,-0.745642,0.05
420,-1.281244,0.06
