model,Gsolv,timing
0,-13895.311721999999,21.12
1,-14142.218992999999,21.32
2,-13974.38128,21.48
3,-14041.746359,22.04
4,-14207.670082499999,21.78
5,-14518.474146999999,21.22
6,-14559.936043,21.59
7,-14520.340877499999,22.0
8,-14845.763726,21.47
9,-15137.955621000001,22.52
10,-14940.271224,21.46
11,-14919.282976999999,20.98
12,-14902.017689,20.79
13,-14980.682920000001,21.31
14,-14753.262110000001,21.81
15,-14693.2773115,20.55
16,-14546.068152,21.15
17,-14361.2933385,20.38
18,-14512.929091000002,21.71
19,-14429.007609,21.84
20,-14457.5231645,22.06
21,-14372.425458499998,22.15
22,-14595.839755500001,21.35
23,-14585.216982499998,20.79
24,-14443.736664,21.47
25,-14231.5253755,21.87
26,-13990.538606999999,21.9
27,-14304.624546500001,20.94
28,-14130.889960499999,21.08
29,-14106.9401495,21.52
30,-14394.526917500001,21.69
31,-14668.973058,21.81
32,-14886.143916,21.04
33,-14521.6641295,20.21
34,-14907.32645,20.47
35,-14631.948257,19.97
36,-14370.991935499998,20.09
37,-14905.80366,20.2
38,-14975.150991499999,20.57
39,-15074.25574,20.19
40,-14763.262639499999,19.96
41,-14790.481198000001,20.44
42,-15166.413415500001,20.15
43,-15306.113645,20.24
44,-14860.771084,20.91
45,-14980.864079500001,20.68
46,-14562.910734500001,21.43
47,-14762.858312499999,20.67
48,-14759.702461500001,20.79
49,-14882.069140000001,20.82
50,-14651.631630500002,20.48
51,-14298.178944,21.21
52,-14605.2758025,21.01
53,-14357.804049,20.6
54,-14611.892062500001,20.12
55,-14883.906990000001,20.61
56,-14813.533088,19.61
57,-14805.3126475,20.26
58,-14856.680555,19.76
59,-14822.430907500002,20.25
60,-14847.643584,20.44
61,-14769.9104055,20.28
62,-14639.935028000002,20.11
63,-14681.1632545,20.0
64,-14324.095254499998,19.2
65,-14316.210878,19.57
66,-14480.367639999999,19.48
67,-14592.2323185,19.85
68,-14541.557542999999,20.52
69,-14580.9006605,20.0
70,-14885.487541,20.17
71,-14703.293594,20.8
72,-15070.312238999999,20.21
73,-14733.541979500002,19.81
74,-14779.553867,20.0
75,-14637.356786999999,20.27
76,-14541.9487425,19.71
77,-14409.098442499999,19.56
78,-14161.574179,20.55
79,-13829.5560745,21.02
80,-14220.330243499999,20.14
81,-13753.2590445,20.33
82,-14190.851129499999,19.48
83,-14042.4998775,20.22
84,-14309.662881,20.17
85,-14004.254219,19.91
86,-14287.4380235,19.58
87,-14038.984332999999,19.51
88,-14311.742277,19.86
89,-14435.0488845,20.47
90,-14614.265514499999,20.06
91,-14315.796049,20.29
92,-14701.17219,19.98
93,-14251.3163945,19.73
94,-14413.509282500001,19.59
95,-14459.634066499999,19.28
96,-14222.798213499998,19.38
97,-13982.7067405,19.43
98,-14073.063323,19.72
99,-14087.114999,19.83
100,-14123.9218835,19.88
101,-14234.3241585,19.32
102,-14043.410926,20.46
103,-13850.1294925,20.56
104,-14048.719687,19.82
105,-13977.676282499999,20.19
106,-14153.5532765,19.03
107,-14051.413449999998,20.24
108,-14107.016289,19.77
109,-13971.635006999999,20.0
110,-13881.197033999999,20.3
111,-14183.4104625,20.1
112,-13894.408549999998,20.38
113,-14035.214114999999,20.47
114,-13828.256452000001,20.18
115,-13897.7718155,18.98
116,-14028.737006500001,19.64
117,-14029.8397165,20.74
118,-13703.634469,19.46
119,-13425.793557,20.55
120,-13597.981723500001,19.94
121,-13726.242649500002,20.2
122,-14244.849788000001,20.28
123,-13893.3032145,20.1
124,-13868.513243500001,19.98
125,-13400.3025775,20.5
126,-13693.988382,20.52
127,-13599.848454,19.75
128,-13925.6441235,19.86
129,-13746.0599235,20.7
130,-13865.065961999999,19.25
131,-13713.93168,20.13
132,-13871.6270865,20.11
133,-14320.810754,19.87
134,-14055.968692499999,19.66
135,-14255.1601265,19.27
136,-14136.582044499999,19.61
137,-14151.043298499999,19.19
138,-14480.341385,19.68
139,-14569.933947000001,19.6
140,-14572.8771325,18.95
141,-14712.9685615,19.04
142,-14130.630036,18.83
143,-14448.457313,18.53
144,-14128.458747499999,18.19
145,-14377.773602,18.41
146,-14078.639884999999,18.86
147,-14196.558966499999,18.46
148,-13979.747802,18.69
149,-14326.6997505,18.63
150,-14376.326951500001,18.56
151,-14415.302499,18.69
152,-14339.9112665,19.21
153,-14396.5485525,19.2
154,-14233.526006499998,19.27
155,-14705.147197,18.96
156,-14435.875917,19.33
157,-14111.8865915,19.26
158,-14360.0225965,18.94
159,-14433.717756000002,19.11
160,-14477.526849000002,18.64
161,-14097.46472,18.69
162,-14142.870116999999,18.92
163,-14539.055441499999,19.7
164,-14385.639599999999,19.17
165,-14246.1021515,18.94
166,-14244.1645325,19.34
167,-14075.9750025,18.91
168,-13755.524850999998,19.09
169,-13889.283574000001,19.15
170,-13759.4342205,19.16
171,-14046.671797,19.2
