model,Gsolv,timing
0,-2662.0233305,23.54
1,-2713.5618955,23.86
2,-2679.417268,24.02
3,-2696.866341,24.67
4,-2733.4710619999996,24.45
5,-2799.6887975000004,23.57
6,-2809.3480120000004,23.98
7,-2804.884662,24.8
8,-2885.6529185,24.14
9,-2950.7128085,24.77
10,-2902.2040705,24.15
11,-2900.216567,23.55
12,-2897.318015,22.99
13,-2919.9314465,24.11
14,-2863.1051245000003,24.29
15,-2848.0557585,22.88
16,-2809.2088605,23.57
17,-2768.332451,22.72
18,-2811.2304955,24.38
19,-2796.771867,24.22
20,-2794.256638,24.77
21,-2778.2699685,25.22
22,-2825.7915185,24.31
23,-2826.387507,23.28
24,-2794.4640525,24.16
25,-2737.2491564999996,24.58
26,-2684.9491964999997,24.73
27,-2762.729634,23.43
28,-2719.4377645,23.6
29,-2720.695379,23.95
30,-2779.2781605,24.25
31,-2843.946851,24.51
32,-2892.7496450000003,23.22
33,-2809.8179765,22.49
34,-2893.3613864999998,22.95
35,-2836.175371,22.27
36,-2782.945984,22.65
37,-2898.3865935,22.58
38,-2911.9971855,23.03
39,-2939.8747445,22.65
40,-2868.6291765,22.25
41,-2874.8463604999997,23.22
42,-2960.5216764999996,22.3
43,-2998.7121995,22.65
44,-2886.663736,23.2
45,-2913.9032985,23.57
46,-2819.9103985,23.76
47,-2871.7325175,23.16
48,-2863.1156265,22.96
49,-2886.6716125,23.21
50,-2834.479298,23.04
51,-2755.4753775,23.54
52,-2827.553229,23.59
53,-2767.4240280000004,22.91
54,-2822.67505,22.46
55,-2882.3920475,22.93
56,-2869.7502649999997,22.02
57,-2870.8818555000003,22.55
58,-2877.364215,22.11
59,-2873.6806385,22.47
60,-2880.6487155,22.86
61,-2867.0696295000002,22.88
62,-2835.7789205,22.26
63,-2844.7318755,22.7
64,-2750.1141065,21.34
65,-2758.4421925,21.82
66,-2783.497339,22.04
67,-2818.568768,22.41
68,-2799.7675625,22.8
69,-2815.885507,22.51
70,-2883.7940645,22.4
71,-2841.3712355000002,23.15
72,-2933.9253615,22.57
73,-2855.9165055,22.19
74,-2864.6489184999996,22.34
75,-2819.4798164999997,22.94
76,-2804.9161679999997,21.92
77,-2762.8031479999995,21.5
78,-2698.3497485,22.48
79,-2630.351924,23.15
80,-2724.5837444999997,22.41
81,-2615.250048,22.58
82,-2715.6045344999998,21.62
83,-2683.213741,22.14
84,-2744.5191659999996,22.79
85,-2677.4612704999995,22.03
86,-2748.7488464999997,21.95
87,-2683.8779925,21.68
88,-2739.2655405,22.08
89,-2780.8062015,22.84
90,-2818.6081504999997,22.38
91,-2746.4856655000003,22.63
92,-2841.5182634999996,22.33
93,-2736.5980325,22.12
94,-2773.5598215,22.35
95,-2774.633651,21.41
96,-2725.830857,21.65
97,-2673.1449485,21.4
98,-2693.5660875,22.0
99,-2703.7005175,22.46
100,-2702.511166,22.47
101,-2743.663253,21.43
102,-2694.881463,22.58
103,-2645.4196685,22.97
104,-2691.0981175,22.48
105,-2675.8649665,22.53
106,-2718.9599235,21.21
107,-2697.275919,22.69
108,-2699.0402550000003,22.26
109,-2677.3825054999998,22.27
110,-2660.492664,22.73
111,-2730.3808485,22.17
112,-2659.84154,22.78
113,-2691.6652255,22.88
114,-2643.3481490000004,22.6
115,-2659.7286435,21.13
116,-2688.9924665000003,21.87
117,-2686.1674285,23.18
118,-2615.832909,21.54
119,-2538.160117,22.69
120,-2584.0249765000003,22.27
121,-2611.700372,22.89
122,-2726.980826,22.69
123,-2660.776218,22.34
124,-2653.2699135000003,22.27
125,-2539.6960345,22.64
126,-2609.0092345000003,22.97
127,-2590.6989975,21.95
128,-2663.8926865000003,22.32
129,-2620.0914700000003,23.08
130,-2644.4246040000003,21.41
131,-2608.287222,22.07
132,-2649.6966079999997,22.42
133,-2754.2728985000003,22.46
134,-2693.064617,21.61
135,-2741.9382995,21.5
136,-2713.3150985,21.62
137,-2720.007498,21.58
138,-2792.6130749999998,21.98
139,-2810.3955865,21.83
140,-2818.2904650000005,21.21
141,-2849.7413295,21.16
142,-2718.7341305,20.58
143,-2777.1777605,20.31
144,-2714.13688,20.32
145,-2767.812602,20.21
146,-2698.5492864999997,20.7
147,-2724.9565655,20.22
148,-2677.7973345,20.71
149,-2759.9597315,20.54
150,-2764.877293,20.54
151,-2774.728169,21.06
152,-2751.1222985,21.43
153,-2764.9796875,21.52
